Abbreviations,Abbreviation,Mx4rwGPa8pwpEbGdrcN5Y29ycA,Abbreviation
Hypotheses,AbductiveInferenceProcess,Mx4rBZ7CSpnAEdqAAAACs6hRXg,AbductiveInferenceProcess
Abortifacients,Abortifacient,Mx4rvgSuQpwpEbGdrcN5Y29ycA,Abortifacient
Accidents,Accident,Mx4rvViib5wpEbGdrcN5Y29ycA,Accident
Dividends,Accumulation_Profits,Mx4rMKGOCrvMEdmAAAACs6hRjg,Accumulation-Profits
Acids,AcidType,Mx4rES1yRgrWEdaAAABQ2sS97g,AcidType
Acrobats,Acrobat,Mx4rv5EdKZwpEbGdrcN5Y29ycA,Acrobat
Acronyms,Acronym,Mx4rvWHOBJwpEbGdrcN5Y29ycA,Acronym
Actinomycetales,Actinomycetales_Order,Mx4rvtYh_ZwpEbGdrcN5Y29ycA,Actinomycetales-Order
Actuaries,Actuary,Mx4rsYyNlohwEdqAAAACs6hRXg,Actuary
Dames,AdultFemaleHuman,Mx4rvVix8ZwpEbGdrcN5Y29ycA,AdultFemaleHuman
Women,AdultFemaleHuman,Mx4rvVix8ZwpEbGdrcN5Y29ycA,AdultFemaleHuman
Advertisements,Advertisement_PCW,Mx4rwP2CJJwpEbGdrcN5Y29ycA,Advertisement-PCW
Advocates,Advocate,Mx4rkpnEysksEdmAAAACs6hRjg,Advocate
Aerosols,AerosolStuff,Mx4rwQBj4pwpEbGdrcN5Y29ycA,AerosolStuff
Affricates,Affricative_Consonant,Mx4rwK4e95wpEbGdrcN5Y29ycA,Affricative-Consonant
Erithacus,AfricanGreyParrot,Mx4rv7vR5ZwpEbGdrcN5Y29ycA,AfricanGreyParrot
Symptoms,AilmentCondition,Mx4rwQwYVpwpEbGdrcN5Y29ycA,AilmentCondition
Syndromes,AilmentConditionTypeBySyndrome,Mx4rv7sZaZwpEbGdrcN5Y29ycA,AilmentConditionTypeBySyndrome
Airfields,Airfield,Mx4rT2uByCTVQdeVZZaE0030Zg,Airfield
Airlines,AirlineCompany,Mx4rvViq7pwpEbGdrcN5Y29ycA,AirlineCompany
Airports,Airport_Physical,Mx4rvVj-r5wpEbGdrcN5Y29ycA,Airport-Physical
Albums,Album_CW,Mx4rwLmi3JwpEbGdrcN5Y29ycA,Album-CW
Alcohols,Alcohol_Compound,Mx4rvVim-JwpEbGdrcN5Y29ycA,Alcohol-Compound
Algae,AlgaeSubkingdom,Mx4rvVkEu5wpEbGdrcN5Y29ycA,AlgaeSubkingdom
Metals,AlkalineEarthMetalElementType,Mx4rIrv2DuxiQdaVSb11xsRi0A,AlkalineEarthMetalElementType
Alkaloids,Alkaloid,Mx4rvVkK35wpEbGdrcN5Y29ycA,Alkaloid
Alkanes,Alkane,Mx4rydvDMuzqQdaLvdv5ptfzVQ,Alkane
Almanacs,Almanac,Mx4rvVjZxJwpEbGdrcN5Y29ycA,Almanac
Almonds,Almond,Mx8Ngh4rvVipdpwpEbGdrcN5Y29ycB4rhb27_IY2QdeEBbPcSwE6yA,"[:FruitFn, :AlmondTree]"
Altars,AltarStage,Mx4rvViUsJwpEbGdrcN5Y29ycA,AltarStage
Alps,Altay_ProvinceRussia,Mx4rOEO5eLllQdePBrf7ILo0VQ,Altay-ProvinceRussia
Ambassadors,Ambassador,Mx4rvrr-aZwpEbGdrcN5Y29ycA,Ambassador
Bison,AmericanBison,Mx4rvhr0dJwpEbGdrcN5Y29ycA,AmericanBison
Amines,Amine,Mx4rv1_6HJwpEbGdrcN5Y29ycA,Amine
Emirs,Amir_HeadOfState,Mx4rvViZ-pwpEbGdrcN5Y29ycA,Amir-HeadOfState
Amphetamines,Amphetamine,Mx4rwP1bk5wpEbGdrcN5Y29ycA,Amphetamine
Amphibians,Amphibian,Mx4rvVjgJJwpEbGdrcN5Y29ycA,Amphibian
Amphitheaters,Amphitheater,Mx4rYDzjmCTVQdeXfaOpKNkSSQ,Amphitheater
Amplifiers,Amplifier,Mx4rvjxerZwpEbGdrcN5Y29ycA,Amplifier
Analgesics,Analgesic,Mx4rvVjr8pwpEbGdrcN5Y29ycA,Analgesic
Anarchists,Anarchist,Mx4rwMXTh5wpEbGdrcN5Y29ycA,Anarchist
Anchovies,Anchovy,Mx4rwHMX8JwpEbGdrcN5Y29ycA,Anchovy
Quechua,AndeanLanguageFamily,Mx4rvVj_7JwpEbGdrcN5Y29ycA,AndeanLanguageFamily
Androgens,Androgen,Mx4rvVr9A5wpEbGdrcN5Y29ycA,Androgen
Anesthesiologists,Anesthesiologist,Mx4rvVjYJJwpEbGdrcN5Y29ycA,Anesthesiologist
Anesthetics,Anesthetic,Mx4rvVjFtJwpEbGdrcN5Y29ycA,Anesthetic
Angels,Angel,Mx4rwQBmFJwpEbGdrcN5Y29ycA,Angel
Angiosperms,AngiospermSpecies,Mx4rvViPFpwpEbGdrcN5Y29ycA,AngiospermSpecies
Anime,Anime,Mx4rwUcs75wpEbGdrcN5Y29ycA,Anime
Anions,Anion,Mx4rpimUiuqPQdaJL4eopsni5w,Anion
Anorectics,Anorectic,Mx4rwP1X7ZwpEbGdrcN5Y29ycA,Anorectic
Ants,Ant,Mx4rvVjecpwpEbGdrcN5Y29ycA,Ant
Antacids,Antacid,Mx4rwP1Y15wpEbGdrcN5Y29ycA,Antacid
Antennas,Antenna,Mx4rvVjSAZwpEbGdrcN5Y29ycA,Antenna
Antibiotics,Antibiotic,Mx4rvVikl5wpEbGdrcN5Y29ycA,Antibiotic
Anticoagulants,Anticoagulant,Mx4rvV3NUpwpEbGdrcN5Y29ycA,Anticoagulant
Anticonvulsants,Anticonvulsant,Mx4rvVoFpJwpEbGdrcN5Y29ycA,Anticonvulsant
Antidepressants,Antidepressant,Mx4rvWUZl5wpEbGdrcN5Y29ycA,Antidepressant
Antiemetics,AntiEmetic,Mx4rwP1Y95wpEbGdrcN5Y29ycA,AntiEmetic
Antihistamines,Antihistamine,Mx4rwP1Z_ZwpEbGdrcN5Y29ycA,Antihistamine
Antioxidants,Antioxidant,Mx4rvjFAqpwpEbGdrcN5Y29ycA,Antioxidant
Antipyretics,Antipyretic,Mx4rwP1aN5wpEbGdrcN5Y29ycA,Antipyretic
Antiseptics,Antiseptic,Mx4rvVtYsZwpEbGdrcN5Y29ycA,Antiseptic
