People,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Albums,Mx4rwLmi3JwpEbGdrcN5Y29ycA,Album-CW
Songs,Mx4rwP3teJwpEbGdrcN5Y29ycA,Song-CW
Films,Mx4rv973YpwpEbGdrcN5Y29ycA,Movie-CW
Populated places,Mx4rrPJDpCTfQdeS8IqP1a0lBw,PopulatedPlace
States,Mx4rvVjnqJwpEbGdrcN5Y29ycA,State-Geopolitical
Museums,Mx4rvViEOJwpEbGdrcN5Y29ycA,Museum-Organization
Sports,Mx4rwPySLpwpEbGdrcN5Y29ycA,Sport
Politicians,Mx4rvVjntpwpEbGdrcN5Y29ycA,Politician
Schools,Mx4r3np2ODTxEdqAAAAH6RYvSQ,School-AcademicOrganization
Companies,Mx4rvViS05wpEbGdrcN5Y29ycA,CommercialOrganization
Records,Mx4rvVj0mZwpEbGdrcN5Y29ycA,Record-ExtremeValue
Novels,Mx4rvViJb5wpEbGdrcN5Y29ycA,Novel-CW
Games,Mx4rvkS9GZwpEbGdrcN5Y29ycA,Game
Railway stations,Mx4rv6ZmoZwpEbGdrcN5Y29ycA,RailroadStation
Places,Mx4rvVjTtJwpEbGdrcN5Y29ycA,Place
Islands,Mx4rvVi7OZwpEbGdrcN5Y29ycA,Island
Footballers,Mx4rvVkDmZwpEbGdrcN5Y29ycA,SoccerPlayer
Elections,Mx4rwQrmEZwpEbGdrcN5Y29ycA,Election
Women,Mx4rvVix8ZwpEbGdrcN5Y29ycA,AdultFemaleHuman
Politics,Mx4rvx3ucJwpEbGdrcN5Y29ycA,Politics
Cities,Mx4rvVjnZ5wpEbGdrcN5Y29ycA,City
Books,Mx4rvVjmq5wpEbGdrcN5Y29ycA,Book-CW
Comics,Mx4rvWsP2pwpEbGdrcN5Y29ycA,ComicStrip
Ambassadors,Mx4rvrr-aZwpEbGdrcN5Y29ycA,Ambassador
Parks,Mx4rwQwoIJwpEbGdrcN5Y29ycA,Park
Organizations,Mx4rvVjVT5wpEbGdrcN5Y29ycA,Organization
Years,Mx4rvVjyV5wpEbGdrcN5Y29ycA,CalendarYear
