Songs,1,Mx4rwP3teJwpEbGdrcN5Y29ycA,Song-CW,1,Mx4rwCZRBZwpEbGdrcN5Y29ycA,Lyric-WordsToSong
Schools,1,Mx4r3np2ODTxEdqAAAAH6RYvSQ,School-AcademicOrganization,1,Mx4rpo0ncHqGQdeOwLvZU0r7Hw,SchoolInstitution
Islands,1,Mx4rvVi7OZwpEbGdrcN5Y29ycA,Island,1,Mx4rvVi7f5wpEbGdrcN5Y29ycA,IslandRegion
Elections,1,Mx4rwQrmEZwpEbGdrcN5Y29ycA,Election,1,Mx4r6mdgyNg6EdmAAACQJw5drg,GeneralElection
Parks,1,Mx4rwQwoIJwpEbGdrcN5Y29ycA,Park,1,Mx4rxFP8zrXfEdqAAAACs6hO_g,ParkGateway
Years,1,Mx4rvVjyV5wpEbGdrcN5Y29ycA,CalendarYear,1,Mx4r02Fn5CyJEdaAAABQ2rksLw,GregorianYear
Landforms,1,Mx4rvVjORZwpEbGdrcN5Y29ycA,TopographicalFeature,1,Mx4rh6auumVKEdqAAAACs71DGQ,Landscape
Publications,1,Mx4rvVjBvZwpEbGdrcN5Y29ycA,PublishedMaterial,1,Mx4rv5L5vZwpEbGdrcN5Y29ycA,PropositionalConceptualWork
Operas,1,Mx4rX7xb_nS_EdaAAACgyZzFrg,MusicalComposition-Opera,1,Mx4rvcOKYJwpEbGdrcN5Y29ycA,Opera-CW
Jews,1,Mx4rwQB4UJwpEbGdrcN5Y29ycA,JewishPerson,1,Mx4rvw4jsJwpEbGdrcN5Y29ycA,EthnicGroupOfIsraeliJews
Arts,1,Mx4rvVjHuJwpEbGdrcN5Y29ycA,ArtObject,1,Mx4rv9muppwpEbGdrcN5Y29ycA,Arts
Libraries,1,Mx4rvVjknJwpEbGdrcN5Y29ycA,Library-Organization,1,Mx4rvVjzh5wpEbGdrcN5Y29ycA,LibrarySpace
Borders,1,Mx4rd7-FiskjEdmAAAACs6hRjg,Borderline,1,Mx4rvVkLfZwpEbGdrcN5Y29ycA,GeopoliticalBorder
Regions,1,Mx4rvViACZwpEbGdrcN5Y29ycA,GeographicalRegion,1,Mx4rpKb4HskwEdmAAAACs6hRjg,Region
Muslims,1,Mx4rwQB3sJwpEbGdrcN5Y29ycA,MuslimPerson,1,Mx4rLHhEAiBjEdiNYwACs6hnlQ,MuslimOrganization
Plants,1,Mx4rvVjG4ZwpEbGdrcN5Y29ycA,Plant,1,Mx4rwP4Gu5wpEbGdrcN5Y29ycA,PlantBLO
Philippines,1,Mx4rvVjoeJwpEbGdrcN5Y29ycA,PhilippinesPerson,1,Mx4rvVipLpwpEbGdrcN5Y29ycA,Philippines
Forts,1,Mx4rvVjyDJwpEbGdrcN5Y29ycA,FortTheShelterRegion,1,Mx4rGIj4ZLtSEdmAAAACs6hRjg,Fortification
Parishes,1,Mx4rvViolJwpEbGdrcN5Y29ycA,LocalReligiousCongregation,1,Mx4rLHiSICBjEdiNYwACs6hnlQ,Parish-Catholic
Telecommunications,1,Mx4rdi9o3IJLQdeSL_KXawza8g,TelecommunicationsCompany,1,Mx4rvh2_J5wpEbGdrcN5Y29ycA,TelecommunicationsIndustry
Synagogues,1,Mx4r8xiK9h5sQdecO7LzXLQRKw,Synagogue-Building,1,Mx4r92FCJB5sQdeDIJL0mVOUHw,Synagogue-LocalCongregation
Rights,1,Mx4reu-K3MU7EduAAADggVbxzQ,Entitlement,1,Mx4r90e90DL0QdeWHMF143CJgQ,HumanRight
Rules,1,Mx4rvViVx5wpEbGdrcN5Y29ycA,CodeOfConduct,1,Mx4rxo_VAPHDEdaO6gABAkLVdg,Protocol
Mines,1,Mx4rvXaPgZwpEbGdrcN5Y29ycA,Mine-Weapon,1,Mx4rwPKlipwpEbGdrcN5Y29ycA,Mine-ExcavationFacility
Tornadoes,1,Mx4rwRY1FpwpEbGdrcN5Y29ycA,TornadoAsEvent,1,Mx4rvwNZvpwpEbGdrcN5Y29ycA,TornadoAsObject
