Songs,Mx4rwP3teJwpEbGdrcN5Y29ycA,Song-CW
Schools,Mx4r3np2ODTxEdqAAAAH6RYvSQ,School-AcademicOrganization
Islands,Mx4rvVi7OZwpEbGdrcN5Y29ycA,Island
Elections,Mx4rwQrmEZwpEbGdrcN5Y29ycA,Election
Parks,Mx4rwQwoIJwpEbGdrcN5Y29ycA,Park
Years,Mx4rvVjyV5wpEbGdrcN5Y29ycA,CalendarYear
Landforms,Mx4rvVjORZwpEbGdrcN5Y29ycA,TopographicalFeature
Publications,Mx4rvVjBvZwpEbGdrcN5Y29ycA,PublishedMaterial
Operas,Mx4rvcOKYJwpEbGdrcN5Y29ycA,Opera-CW
Jews,Mx4rwQB4UJwpEbGdrcN5Y29ycA,JewishPerson
Arts,Mx4rvVjHuJwpEbGdrcN5Y29ycA,ArtObject
Libraries,Mx4rvVjknJwpEbGdrcN5Y29ycA,Library-Organization
Borders,Mx4rd7-FiskjEdmAAAACs6hRjg,Borderline
Regions,Mx4rvViACZwpEbGdrcN5Y29ycA,GeographicalRegion
Muslims,Mx4rwQB3sJwpEbGdrcN5Y29ycA,MuslimPerson
Plants,Mx4rvVjG4ZwpEbGdrcN5Y29ycA,Plant
Philippines,Mx4rvVjoeJwpEbGdrcN5Y29ycA,PhilippinesPerson
Forts,Mx4rvVjyDJwpEbGdrcN5Y29ycA,FortTheShelterRegion
Parishes,Mx4rvViolJwpEbGdrcN5Y29ycA,LocalReligiousCongregation
Telecommunications,Mx4rdi9o3IJLQdeSL_KXawza8g,TelecommunicationsCompany
Synagogues,Mx4r8xiK9h5sQdecO7LzXLQRKw,Synagogue-Building
Rights,Mx4reu-K3MU7EduAAADggVbxzQ,Entitlement
Rules,Mx4rvViVx5wpEbGdrcN5Y29ycA,CodeOfConduct
Mines,Mx4rwPKlipwpEbGdrcN5Y29ycA,Mine-ExcavationFacility
Tornadoes,Mx4rwRY1FpwpEbGdrcN5Y29ycA,TornadoAsEvent
Tanks,Mx4rwQB8vpwpEbGdrcN5Y29ycA,Tank-Vehicle
Drugs,Mx4rv8FjPpwpEbGdrcN5Y29ycA,DrugSubstance
Zoos,Mx4rvgC7oJwpEbGdrcN5Y29ycA,ZooOrganization
Criminals,Mx4rvVjIu5wpEbGdrcN5Y29ycA,Criminal
Frigates,Mx4rwIG-bpwpEbGdrcN5Y29ycA,ModernFrigate
Reservoirs,Mx4rvVjzt5wpEbGdrcN5Y29ycA,WaterReservoir
Symbols,1Mx4r2XFgqAXyEdqAAAACs71DGQ,GraphicalAIS
Occupations,Mx4rvVii2ZwpEbGdrcN5Y29ycA,PersonTypeByOccupation
Protests,Mx4rvVjO95wpEbGdrcN5Y29ycA,PublicProtesting
Essays,Mx4rvxfXtJwpEbGdrcN5Y29ycA,AcademicEssay
Resorts,Mx4rvx0OwZwpEbGdrcN5Y29ycA,Resort-Attraction
Seasons,Mx4rvgEUH5wpEbGdrcN5Y29ycA,CalendarSeasonType
Admirals,Mx4rfmWO_HS8EdaAAACgyZzFrg,Admiral-Rank
Manuscripts,Mx4rMRnY-nFeQdmN4NPG893nNA,Manuscript-CW
Laos,Mx4rvViyWpwpEbGdrcN5Y29ycA,LaotianPerson
Networks,Mx4rvmCrpZwpEbGdrcN5Y29ycA,PathArtifactSystem
Cameras,Mx4rvWAmAJwpEbGdrcN5Y29ycA,Camera
Socialists,Mx4rvwKKdpwpEbGdrcN5Y29ycA,Socialist
Theories,Mx4rQq_n4TdvQRmb_l5j4QW1LQ,TheoreticalConstruct
Cattle,Mx4rvWayzZwpEbGdrcN5Y29ycA,Cattle
Documents,Mx4r1c41Pji8Ed2AAAACs6hRXg,Document-CW
Rocks,Mx4rvViOBJwpEbGdrcN5Y29ycA,StoneStuff
Genres,Mx4rdUzR9nSwEdaAAACgyZzFrg,ObjectTypeByStyle
Acids,Mx4rD1Ky4grWEdaAAABQ2sS97g,ChemicallyAcidicSubstance
Plays,Mx4rv0F5opwpEbGdrcN5Y29ycA,Play-CW
Waves,Mx4rwQCA9ZwpEbGdrcN5Y29ycA,WavePropagation
Grasses,Mx4rvViZVpwpEbGdrcN5Y29ycA,Grass-Plant
Helicopters,Mx4rvViuEJwpEbGdrcN5Y29ycA,Helicopter
Cosmetics,Mx4rvVjX95wpEbGdrcN5Y29ycA,Makeup
Producers,Mx4rvVjvI5wpEbGdrcN5Y29ycA,ManufacturingOrganization
Armies,Mx4rmkGQFm3OEdaAAACgye-oRQ,Army-MilitaryEchelon
Algae,Mx4rvVkEeZwpEbGdrcN5Y29ycA,Algae
Mysteries,Mx4rq0dgAHS_EdaAAACgyZzFrg,PropositionalConceptualWork-MysteryGenre
Metals,Mx4rvVisOZwpEbGdrcN5Y29ycA,Metal
Symptoms,Mx4rLvFXyp9oEdyAAAATco72kA,AilmentSymptom
Pharmacies,Mx4rwTs2dJwpEbGdrcN5Y29ycA,PharmaceuticalDispensingOrganization
Trials,Mx4rvWPSj5wpEbGdrcN5Y29ycA,Trial
Scales,Mx4rYBvB-scWEdmAAAACs6hRjg,Scale-Specification
Bakeries,Mx4rvViU4pwpEbGdrcN5Y29ycA,BakeryStore
Fireworks,Mx4rQIteTPMxQdaHqaWaRlxNrA,Firework-PyrotechnicDevice
Continents,Mx4rvVkLu5wpEbGdrcN5Y29ycA,Continent
Explosives,Mx4rwQrh8JwpEbGdrcN5Y29ycA,ExplosiveDevice
Vegetables,Mx4rvVjCR5wpEbGdrcN5Y29ycA,Vegetable-Plant
Organs,Mx4rwP3iWpwpEbGdrcN5Y29ycA,Organ
Filters,Mx4rvVizJZwpEbGdrcN5Y29ycA,PhysicalFilter
Solids,Mx4rvVjZVpwpEbGdrcN5Y29ycA,Solid-StateOfMatter
Puzzles,Mx4rvWHek5wpEbGdrcN5Y29ycA,Puzzle-Generic
Sanctuaries,Mx4rvViagpwpEbGdrcN5Y29ycA,ShelterConstruction
Buses,Mx4rvVi0v5wpEbGdrcN5Y29ycA,Bus-RoadVehicle
Diets,Mx4roTc2YL7GQdeOz4rwGpx0hA,DietProgram
Pyramids,Mx4rwQw2bZwpEbGdrcN5Y29ycA,PyramidMonument
Pumps,Mx4rv8J6WZwpEbGdrcN5Y29ycA,Pump-Generic
Semiconductors,Mx4rvgEYcZwpEbGdrcN5Y29ycA,SemiconductorStuff
Sensors,Mx4rvVieWpwpEbGdrcN5Y29ycA,Sensor
Marches,Mx4rvVj6_5wpEbGdrcN5Y29ycA,ProtestMarch
Cables,Mx4rwQCNY5wpEbGdrcN5Y29ycA,Cable
Doors,Mx4rvVj5FJwpEbGdrcN5Y29ycA,Doorway
