People,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Albums,Mx4rwLmi3JwpEbGdrcN5Y29ycA,Album-CW
Songs,Mx4rwP3teJwpEbGdrcN5Y29ycA,Song-CW
States,Mx4rvVjnqJwpEbGdrcN5Y29ycA,State-Geopolitical
Museums,Mx4rvViEOJwpEbGdrcN5Y29ycA,Museum-Organization
Sports,Mx4rwPySLpwpEbGdrcN5Y29ycA,Sport
Schools,Mx4r3np2ODTxEdqAAAAH6RYvSQ,School-AcademicOrganization
Novels,Mx4rvViJb5wpEbGdrcN5Y29ycA,Novel-CW
Places,Mx4rvVjTtJwpEbGdrcN5Y29ycA,Place
Islands,Mx4rvVi7OZwpEbGdrcN5Y29ycA,Island
Footballers,Mx4rvVkDmZwpEbGdrcN5Y29ycA,SoccerPlayer
Elections,Mx4rwQrmEZwpEbGdrcN5Y29ycA,Election
Women,Mx4rvVix8ZwpEbGdrcN5Y29ycA,AdultFemaleHuman
Politics,Mx4rvx3ucJwpEbGdrcN5Y29ycA,Politics
Ambassadors,Mx4rvrr-aZwpEbGdrcN5Y29ycA,Ambassador
Parks,Mx4rwQwoIJwpEbGdrcN5Y29ycA,Park
Organizations,Mx4rvVjVT5wpEbGdrcN5Y29ycA,Organization
Years,Mx4rvVjyV5wpEbGdrcN5Y29ycA,CalendarYear
Rivers,Mx4rvVkHM5wpEbGdrcN5Y29ycA,River
Mayors,Mx4rwQrzr5wpEbGdrcN5Y29ycA,Mayor
Conflicts,Mx4rvyEmy5wpEbGdrcN5Y29ycA,ConflictEvent
Olympics,Mx4rvVkA9pwpEbGdrcN5Y29ycA,OlympicGames
Landforms,Mx4rvVjORZwpEbGdrcN5Y29ycA,TopographicalFeature
Writers,Mx4rvVj7rpwpEbGdrcN5Y29ycA,Writer
Municipalities,Mx4r06ySZMcYEdmAAAACs6hRjg,Municipality
Treaties,Mx4rwD8ghJwpEbGdrcN5Y29ycA,Treaty
Roads,Mx4rvyNjbZwpEbGdrcN5Y29ycA,Roadway
Mountains,Mx4rvVjODZwpEbGdrcN5Y29ycA,Mountain
