Abbreviations,Mx4rwGPa8pwpEbGdrcN5Y29ycA,Abbreviation
Abortifacients,Mx4rvgSuQpwpEbGdrcN5Y29ycA,Abortifacient
Abyssal plains,Mx4rUmNPzrgqEdmAAAACs0x8nw,AbyssalPlain
Academics,Mx4rvVidtpwpEbGdrcN5Y29ycA,AcademicProfessional
Accidents,Mx4rvViib5wpEbGdrcN5Y29ycA,Accident
Accountants,Mx4rvVkB3ZwpEbGdrcN5Y29ycA,Accountant
Acids,Mx4rD1Ky4grWEdaAAABQ2sS97g,ChemicallyAcidicSubstance
Acrobats,Mx4rv5EdKZwpEbGdrcN5Y29ycA,Acrobat
Acronyms,Mx4rvWHOBJwpEbGdrcN5Y29ycA,Acronym
Actinomycetales,Mx4rvtYh_ZwpEbGdrcN5Y29ycA,Actinomycetales-Order
Action films,Mx4rv2VcW5wpEbGdrcN5Y29ycA,ActionMovie
Activists,Mx8Ngh4rvVipPJwpEbGdrcN5Y29ycB4rwRwbWpwpEbGdrcN5Y29ycA,"[:FrequentPerformerFn, :Activism]"
Actors,Mx4rvVjaHZwpEbGdrcN5Y29ycA,Actor
Actuaries,Mx4rsYyNlohwEdqAAAACs6hRXg,Actuary
Administrative divisions,Mx4rbFoHaMb1EdmAAAACs6hRjg,AdministrativeDistrict
Admirals,Mx4rfmWO_HS8EdaAAACgyZzFrg,Admiral-Rank
Adventure films,Mx4rvgx-T5wpEbGdrcN5Y29ycA,AdventureMovie
Advertisements,Mx4rwP2CJJwpEbGdrcN5Y29ycA,Advertisement-PCW
Advertising agencies,Mx4rvViK6pwpEbGdrcN5Y29ycA,AdvertisingAgency
Advisors,Mx4r0hlXAuvlQdieFbf06sqfNg,Advisor
Advocates,Mx4rkpnEysksEdmAAAACs6hRjg,Advocate
Aerial bombs,Mx4rvV8c0ZwpEbGdrcN5Y29ycA,AerialBomb
Aerosols,Mx4rwQBj4pwpEbGdrcN5Y29ycA,AerosolStuff
Aerospace engineers,Mx4r0lfHALC2QdeSs6U7u99OOA,AerospaceEngineer
Affricates,Mx4rwK4e95wpEbGdrcN5Y29ycA,Affricative-Consonant
Afghan people,Mx4rvVjT-5wpEbGdrcN5Y29ycA,AfghanPerson
Agnostics,Mx4rwG_1cJwpEbGdrcN5Y29ycA,ReligiousAgnostic
Agriculture ministers,Mx4r5rTVwFB1QdmVJ4qRY3H0KQ,MinisterOfAgriculture
Agronomists,Mx4r3aCcJI1oQdiR6JEYvRUHJw,Agronomist
Airborne divisions,Mx4r3nMcPO0-QdeBzvdPIWQXNA,AirborneDivision
Aircraft carriers,Mx4rwQCZhZwpEbGdrcN5Y29ycA,AircraftCarrier
Aircraft engines,Mx4rviAfdpwpEbGdrcN5Y29ycA,AircraftEngine
Airfields,Mx4rT2uByCTVQdeVZZaE0030Zg,Airfield
Airliners,Mx4r0Z1FHjDhQdiBpokGyffSPA,CommercialAirliner
Airlines,Mx4rvViq7pwpEbGdrcN5Y29ycA,AirlineCompany
Airmen,Mx4rvVinzZwpEbGdrcN5Y29ycA,AirForcePersonnel
Airports,Mx4rvVj-r5wpEbGdrcN5Y29ycA,Airport-Physical
Air-to-air missiles,Mx4rv043t5wpEbGdrcN5Y29ycA,AirToAirMissile
Air-to-surface missiles,Mx4rv878K5wpEbGdrcN5Y29ycA,AirToSurfaceMissile
Air forces,Mx4rwQwazJwpEbGdrcN5Y29ycA,AirForce
Albanian people,Mx4rvVjc5pwpEbGdrcN5Y29ycA,AlbanianPerson
Albums,Mx4rwLmi3JwpEbGdrcN5Y29ycA,Album-CW
Alcoholic beverages,Mx4rvVjIe5wpEbGdrcN5Y29ycA,AlcoholicBeverage
Alcohols,Mx4rvVim-JwpEbGdrcN5Y29ycA,Alcohol-Compound
Algae,Mx4rvVkEeZwpEbGdrcN5Y29ycA,Algae
Algerian people,Mx4rvVjJJZwpEbGdrcN5Y29ycA,AlgerianPerson
Algorithms,Mx4rvVjuaJwpEbGdrcN5Y29ycA,Algorithm
Alkaloids,Mx4rvVkK35wpEbGdrcN5Y29ycA,Alkaloid
Alkanes,Mx4rydvDMuzqQdaLvdv5ptfzVQ,Alkane
Alloys,Mx4rvVjMi5wpEbGdrcN5Y29ycA,MetalAlloy
Almanacs,Mx4rvVjZxJwpEbGdrcN5Y29ycA,Almanac
Almonds,Mx8Ngh4rvVipdpwpEbGdrcN5Y29ycB4rhb27_IY2QdeEBbPcSwE6yA,"[:FruitFn, :AlmondTree]"
Altars,Mx4rvViUsJwpEbGdrcN5Y29ycA,AltarStage
Ambassadors,Mx4rvrr-aZwpEbGdrcN5Y29ycA,Ambassador
Ambulance services,Mx4rvVixGpwpEbGdrcN5Y29ycA,ServiceOrganization
American journalists,Mx8Ngx4rwEcGC5wpEbGdrcN5Y29ycB4rvVj1zpwpEbGdrcN5Y29ycB4rvVj-ypwpEbGdrcN5Y29ycA,"[:CollectionIntersection2Fn, :UnitedStatesPerson, :Journalist]"
American people,Mx4rvVj1zpwpEbGdrcN5Y29ycA,UnitedStatesPerson
Amines,Mx4rv1_6HJwpEbGdrcN5Y29ycA,Amine
Amino acids,Mx4rvVibZJwpEbGdrcN5Y29ycA,AminoAcid
Amphetamines,Mx4rwP1bk5wpEbGdrcN5Y29ycA,Amphetamine
Amphibians,Mx4rvVjgJJwpEbGdrcN5Y29ycA,Amphibian
Amphibious vehicles,Mx4rwGid-JwpEbGdrcN5Y29ycA,AmphibiousVehicle
Amphitheaters,Mx4rYDzjmCTVQdeXfaOpKNkSSQ,Amphitheater
Amplifiers,Mx4rvjxerZwpEbGdrcN5Y29ycA,Amplifier
Amusement parks,Mx4rvVi1P5wpEbGdrcN5Y29ycA,AmusementPark
Analgesics,Mx4rvVjr8pwpEbGdrcN5Y29ycA,Analgesic
Anarchists,Mx4rwMXTh5wpEbGdrcN5Y29ycA,Anarchist
Anchovies,Mx4rwHMX8JwpEbGdrcN5Y29ycA,Anchovy
Androgens,Mx4rvVr9A5wpEbGdrcN5Y29ycA,Androgen
Androids,Mx4rvViQ1JwpEbGdrcN5Y29ycA,Android
Anemias,Mx4rwThHvJwpEbGdrcN5Y29ycA,Anemia
Anesthesiologists,Mx4rvVjYJJwpEbGdrcN5Y29ycA,Anesthesiologist
Anesthetics,Mx4rvVjFtJwpEbGdrcN5Y29ycA,Anesthetic
Angels,Mx4rwQBmFJwpEbGdrcN5Y29ycA,Angel
Angiosperms,Mx4rvVjHa5wpEbGdrcN5Y29ycA,FloweringPlant
Anglicans,Mx4rTY6RYCZXEdaAAACQJ5pcGA,AnglicanPerson
Angolan people,Mx4rvVjC15wpEbGdrcN5Y29ycA,AngolaPerson
Animals,Mx4r5lNPkMLgQdeAzr878CoUZw,NonHumanAnimal
Animal shelters,Mx4rwScplv_LEdqAAAACs71DGQ,AnimalShelter
Animated films,Mx4rvW_VwpwpEbGdrcN5Y29ycA,AnimatedMovie
Anime,Mx4rwUcs75wpEbGdrcN5Y29ycA,Anime
Anime films,Mx4rvg4u_ZwpEbGdrcN5Y29ycA,AnimeMovie
Anions,Mx4rpimUiuqPQdaJL4eopsni5w,Anion
Annual events,Mx4rvVjxSZwpEbGdrcN5Y29ycA,AnnualEventType
Anorectics,Mx4rwP1X7ZwpEbGdrcN5Y29ycA,Anorectic
Antacids,Mx4rwP1Y15wpEbGdrcN5Y29ycA,Antacid
Antennas,Mx4rvVjSAZwpEbGdrcN5Y29ycA,Antenna
Anthems,Mx8Ngx4rwEcGC5wpEbGdrcN5Y29ycB4rwKrQNpwpEbGdrcN5Y29ycB4rwP3teJwpEbGdrcN5Y29ycA,"[:CollectionIntersection2Fn, :SymbolicThing, :""Song-CW""]"
Anthropologists,Mx4rQH6RgMX4QdiOJ49GFEvGjQ,Anthropologist
Anti-aircraft guns,Mx4rwQB7wZwpEbGdrcN5Y29ycA,AntiAircraftGun
Anti-aircraft weapons,Mx4rvsMA45wpEbGdrcN5Y29ycA,AntiAircraftWeapon
Antibiotics,Mx4rvVikl5wpEbGdrcN5Y29ycA,Antibiotic
Antibodies,Mx4rImDPUpx2Ed2AAABQjYGu0g,AntibodyMolecule
Anticoagulants,Mx4rvV3NUpwpEbGdrcN5Y29ycA,Anticoagulant
Anticonvulsants,Mx4rvVoFpJwpEbGdrcN5Y29ycA,Anticonvulsant
Antidepressants,Mx4rvWUZl5wpEbGdrcN5Y29ycA,Antidepressant
Antiemetics,Mx4rwP1Y95wpEbGdrcN5Y29ycA,AntiEmetic
Antifungals,Mx4rwP1KH5wpEbGdrcN5Y29ycA,Antifungal
Antihistamines,Mx4rwP1Z_ZwpEbGdrcN5Y29ycA,Antihistamine
Antioxidants,Mx4rvjFAqpwpEbGdrcN5Y29ycA,Antioxidant
Antipyretics,Mx4rwP1aN5wpEbGdrcN5Y29ycA,Antipyretic
Antiseptics,Mx4rvVtYsZwpEbGdrcN5Y29ycA,Antiseptic
Anti-ship missiles,Mx4rvtjSBpwpEbGdrcN5Y29ycA,AntiShipMissile
Anti-tank guns,Mx4rPAGHaUUBTjqyNjGtA1HwTg,AntiTankArtilleryGun
Anti-tank missiles,Mx4rwHPZEZwpEbGdrcN5Y29ycA,AntiTankGuidedWeapon
Anti-tank rockets,Mx4rc1uM_LsWEdmAAAACs2IKaQ,AntiTankWeapon-Rocket
Ants,Mx4rvVjecpwpEbGdrcN5Y29ycA,Ant
Anxiolytics,Mx4rwP34cpwpEbGdrcN5Y29ycA,Anxiolytic
Apartments,Mx4rvVixF5wpEbGdrcN5Y29ycA,ApartmentUnit
Apes,Mx4rvVicmpwpEbGdrcN5Y29ycA,Ape
Appellate courts,Mx4rvyv-3JwpEbGdrcN5Y29ycA,AppealsCourt
Appetizers,Mx4rvVkEgJwpEbGdrcN5Y29ycA,Appetizer
Apples,Mx4rvVjBnZwpEbGdrcN5Y29ycA,AppleTree
Approximations,Mx4rvVjSRZwpEbGdrcN5Y29ycA,Estimate
Aprons,Mx4rvVirR5wpEbGdrcN5Y29ycA,Apron
Aquatics,Mx8Ngh4rwPzX35wpEbGdrcN5Y29ycB4rvVjAHZwpEbGdrcN5Y29ycA,"[:LiquidFn, :Water]"
Aqueducts,Mx4rGDBL3tSzQdaKOcti1qFoQw,Aqueduct
Aquifers,Mx4rzIMJ5TDFEdieNAACs6hciw,Aquifer
Arachnids,Mx4rvVifK5wpEbGdrcN5Y29ycA,Arachnid
Arboreta,Mx4rJxqzdFwxEdqAAAACs71DGQ,Arboretum
Arborists,Mx4rGOFiIvpVEdqAAAACs71DGQ,Arborist
Arcade games,Mx4rwNxP05wpEbGdrcN5Y29ycA,ArcadeGameProgram
Archaeological sites,Mx4rjBdVKiTVQdebL5WJE5yY6g,ArchaeologicalSite
Archaeologists,Mx4rvrjV7pwpEbGdrcN5Y29ycA,Archaeologist
Archbishops,Mx4rvePNfZwpEbGdrcN5Y29ycA,Archbishop
Archipelagoes,Mx4rvVj7_ZwpEbGdrcN5Y29ycA,Archipelago
Architects,Mx4rwQxF25wpEbGdrcN5Y29ycA,Architect
Architectural styles,Mx4rgkiTmnSwEdaAAACgyZzFrg,ArchitecturalTypeByStyle
Archives,Mx4rvYGPqpwpEbGdrcN5Y29ycA,ArchiveHoldings
Archivists,Mx4revPXgitfQdifNqLv5mEwfg,Archivist
Arch bridges,Mx4rjdX_hJUaEdqAAAACs6hRXg,ArchBridge
Area studies,Mx4rv6KsE5wpEbGdrcN5Y29ycA,AreaStudies
Argentine people,Mx4rvVj2SZwpEbGdrcN5Y29ycA,ArgentinePerson
Arias,Mx4rvulC0JwpEbGdrcN5Y29ycA,Aria
Armadillos,Mx4rwP1IB5wpEbGdrcN5Y29ycA,Armadillo
Armenian people,Mx4rvaMeBZwpEbGdrcN5Y29ycA,ArmenianPerson
Armies,Mx4rmkGQFm3OEdaAAACgye-oRQ,Army-MilitaryEchelon
Armored divisions,Mx4r9o6nBJ8gEdaAAACQJ5pcGA,ArmoredDivision
Army officers,Mx8NhB4rvuAoI5wpEbGdrcN5Y29ycB4rvViAkpwpEbGdrcN5Y29ycB4rMIPuNlLMQdmHkNj86WIvOR4rv26DAZwpEbGdrcN5Y29ycA,"[:SubcollectionOfWithRelationFromFn, :Person, :officers, :""Army-BranchOfService""]"
Army personnel,Mx4rvVjuzJwpEbGdrcN5Y29ycA,ArmyPersonnel
Arrays,Mx4r3NMwBzgtEdaHLgACs0uFOQ,Array-DataStructure
Arrondissements,Mx4rW7nvfrgqEdmAAAACs0x8nw,Arrondissement
Arsenals,Mx4riBVf0ABuEduAAAACs71DGQ,Arsenal
