Abbeys,Abbey,Mx4rGphw-inAQdiM5KzBxwwzkw,Abbey
Abbreviations,Abbreviation,Mx4rwGPa8pwpEbGdrcN5Y29ycA,Abbreviation
Abdomen,Abdomen,Mx4rvVjgyZwpEbGdrcN5Y29ycA,Abdomen
Hypotheses,AbductiveInferenceProcess,Mx4rBZ7CSpnAEdqAAAACs6hRXg,AbductiveInferenceProcess
ReBoot,AbnormalSystemCondition,Mx4rnNc_VJeMQdeEufY0e4CuNg,AbnormalSystemCondition
Abolitionism,Abolitionism,Mx4rv0ZsHpwpEbGdrcN5Y29ycA,Abolitionism
Abortifacients,Abortifacient,Mx4rvgSuQpwpEbGdrcN5Y29ycA,Abortifacient
Abra,Abra_ProvincePhilippines,Mx4rvdEb2ZwpEbGdrcN5Y29ycA,Abra-ProvincePhilippines
Absinthe,Absinthe,Mx4rvvabn5wpEbGdrcN5Y29ycA,Absinthe
Acacia,Acacia,Mx4rvVi165wpEbGdrcN5Y29ycA,Acacia
Faculty,AcademicProfessional,Mx4rvVidtpwpEbGdrcN5Y29ycA,AcademicProfessional
Accidents,Accident,Mx4rvViib5wpEbGdrcN5Y29ycA,Accident
Problems,Accountant,Mx4rvVkB3ZwpEbGdrcN5Y29ycA,Accountant
Accreditation,Accreditation,Mx4rwQr_MJwpEbGdrcN5Y29ycA,Accreditation
Dividends,Accumulation_Profits,Mx4rMKGOCrvMEdmAAAACs6hRjg,Accumulation-Profits
Acer,AcerComputer,Mx4rvViqOJwpEbGdrcN5Y29ycA,AcerComputer
Acetylcholine,Acetylcholine,Mx4rD8MxUVupEdeFCAACs1uxFw,Acetylcholine
Acids,AcidType,Mx4rES1yRgrWEdaAAABQ2sS97g,AcidType
Acrobats,Acrobat,Mx4rv5EdKZwpEbGdrcN5Y29ycA,Acrobat
Acronyms,Acronym,Mx4rvWHOBJwpEbGdrcN5Y29ycA,Acronym
Actinomycetales,Actinomycetales_Order,Mx4rvtYh_ZwpEbGdrcN5Y29ycA,Actinomycetales-Order
Dissent,ActOfDissent,Mx4rwQrwJpwpEbGdrcN5Y29ycA,ActOfDissent
Actuaries,Actuary,Mx4rsYyNlohwEdqAAAACs6hRXg,Actuary
Acura,AcuraCar,Mx4rvVjL2JwpEbGdrcN5Y29ycA,AcuraCar
Addiction,Addiction,Mx4rwP1Pk5wpEbGdrcN5Y29ycA,Addiction
Addictions,Addiction,Mx4rwP1Pk5wpEbGdrcN5Y29ycA,Addiction
Administrators,Administrator,Mx4rvViu3JwpEbGdrcN5Y29ycA,Administrator
Adoption,Adoption,Mx4rv8dMEZwpEbGdrcN5Y29ycA,Adoption
Dames,AdultFemaleHuman,Mx4rvVix8ZwpEbGdrcN5Y29ycA,AdultFemaleHuman
Women,AdultFemaleHuman,Mx4rvVix8ZwpEbGdrcN5Y29ycA,AdultFemaleHuman
Advertisements,Advertisement_PCW,Mx4rwP2CJJwpEbGdrcN5Y29ycA,Advertisement-PCW
Advocates,Advocate,Mx4rkpnEysksEdmAAAACs6hRjg,Advocate
Aerodynamics,Aerodynamics,Mx4rwFzvUZwpEbGdrcN5Y29ycA,Aerodynamics
Aeronautics,Aeronautics,Mx4rkKpqppsjTl6hLp64HL_61w,AerospaceEngineering
Aerosols,AerosolStuff,Mx4rwQBj4pwpEbGdrcN5Y29ycA,AerosolStuff
Aerospace,AerospaceIndustry,Mx4rvhf5A5wpEbGdrcN5Y29ycA,AerospaceIndustry
Affricates,Affricative_Consonant,Mx4rwK4e95wpEbGdrcN5Y29ycA,Affricative-Consonant
Fricative,Affricative_Consonant,Mx4rwK4e95wpEbGdrcN5Y29ycA,Affricative-Consonant
Erithacus,AfricanGreyParrot,Mx4rv7vR5ZwpEbGdrcN5Y29ycA,AfricanGreyParrot
AIDS,AIDS,Mx4rwP1LGpwpEbGdrcN5Y29ycA,AIDS
Symptoms,AilmentCondition,Mx4rwQwYVpwpEbGdrcN5Y29ycA,AilmentCondition
Syndromes,AilmentConditionTypeBySyndrome,Mx4rv7sZaZwpEbGdrcN5Y29ycA,AilmentConditionTypeBySyndrome
Airbus,Airbus,Mx4rMWa14i9dQdiA35I-d_uJMg,Airbus
Airfield,Airfield,Mx4rT2uByCTVQdeVZZaE0030Zg,Airfield
Airfields,Airfield,Mx4rT2uByCTVQdeVZZaE0030Zg,Airfield
Airlines,AirlineCompany,Mx4rvViq7pwpEbGdrcN5Y29ycA,AirlineCompany
Pilots,AirplanePilot,Mx4rvVjK7pwpEbGdrcN5Y29ycA,AirplanePilot
Airports,Airport_Physical,Mx4rvVj-r5wpEbGdrcN5Y29ycA,Airport-Physical
Alabama,Alabama_State,Mx4rvVkAzpwpEbGdrcN5Y29ycA,Alabama-State
Alaska,Alaska_State,Mx4rvViMJZwpEbGdrcN5Y29ycA,Alaska-State
Albania,Albania,Mx4rvViNj5wpEbGdrcN5Y29ycA,Albania
Albay,Albay_ProvincePhilippines,Mx4rvvVPDZwpEbGdrcN5Y29ycA,Albay-ProvincePhilippines
Alberta,Alberta_CanadianProvince,Mx4rvv2XOZwpEbGdrcN5Y29ycA,Alberta-CanadianProvince
Albums,Album_CW,Mx4rwLmi3JwpEbGdrcN5Y29ycA,Album-CW
Alchemy,Alchemy,Mx4rvap8MpwpEbGdrcN5Y29ycA,Alchemy
Alcohol,Alcohol_Compound,Mx4rvVim-JwpEbGdrcN5Y29ycA,Alcohol-Compound
Alcohols,Alcohol_Compound,Mx4rvVim-JwpEbGdrcN5Y29ycA,Alcohol-Compound
Algae,AlgaeSubkingdom,Mx4rvVkEu5wpEbGdrcN5Y29ycA,AlgaeSubkingdom
Algeria,Algeria,Mx4rvViMkpwpEbGdrcN5Y29ycA,Algeria
Metals,AlkalineEarthMetalElementType,Mx4rIrv2DuxiQdaVSb11xsRi0A,AlkalineEarthMetalElementType
Alkaloids,Alkaloid,Mx4rvVkK35wpEbGdrcN5Y29ycA,Alkaloid
Alkanes,Alkane,Mx4rydvDMuzqQdaLvdv5ptfzVQ,Alkane
Almanacs,Almanac,Mx4rvVjZxJwpEbGdrcN5Y29ycA,Almanac
Almonds,Almond,Mx8Ngh4rvVipdpwpEbGdrcN5Y29ycB4rhb27_IY2QdeEBbPcSwE6yA,"[:FruitFn, :AlmondTree]"
Aloe,Aloe_Plant,Mx4rvVihxZwpEbGdrcN5Y29ycA,Aloe-Plant
Altars,AltarStage,Mx4rvViUsJwpEbGdrcN5Y29ycA,AltarStage
Alps,Altay_ProvinceRussia,Mx4rOEO5eLllQdePBrf7ILo0VQ,Altay-ProvinceRussia
Homeopathy,AlternativeMedicine,Mx4rvkOeKZwpEbGdrcN5Y29ycA,AlternativeMedicine
Qigong,AlternativeMedicinePractitioner,Mx4rv9a24ZwpEbGdrcN5Y29ycA,AlternativeMedicinePractitioner
Altos,Alto_Singer,Mx4rwJ0c5ZwpEbGdrcN5Y29ycA,Alto-Singer
Aluminium,Aluminum,Mx4rvVi2O5wpEbGdrcN5Y29ycA,Aluminum
Aluminum,Aluminum,Mx4rvVi2O5wpEbGdrcN5Y29ycA,Aluminum
Scythia,Amazon_Warrior,Mx4rwBi0VZwpEbGdrcN5Y29ycA,Amazon-Warrior
Amazon,Ambassador,Mx4rvrr-aZwpEbGdrcN5Y29ycA,Ambassador
Ambassadors,Ambassador,Mx4rvrr-aZwpEbGdrcN5Y29ycA,Ambassador
Bison,AmericanBison,Mx4rvhr0dJwpEbGdrcN5Y29ycA,AmericanBison
Bovidae,AmericanBison,Mx4rvhr0dJwpEbGdrcN5Y29ycA,AmericanBison
Fulica,AmericanCoot,Mx4rwLnchpwpEbGdrcN5Y29ycA,AmericanCoot
Crocodylus,AmericanCrocodile,Mx4rwJHTd5wpEbGdrcN5Y29ycA,AmericanCrocodile
Americium,Americium,Mx4rvr8sLZwpEbGdrcN5Y29ycA,Americium
Amines,Amine,Mx4rv1_6HJwpEbGdrcN5Y29ycA,Amine
Emirs,Amir_HeadOfState,Mx4rvViZ-pwpEbGdrcN5Y29ycA,Amir-HeadOfState
Ammunition,Ammunition,Mx8Ngh4rwP1535wpEbGdrcN5Y29ycB4rwQB61JwpEbGdrcN5Y29ycA,"[:GroupFn, :ProjectileShellAssembly]"
Amoeba,Amoeba,Mx4rvViVw5wpEbGdrcN5Y29ycA,Amoeba
Amphetamines,Amphetamine,Mx4rwP1bk5wpEbGdrcN5Y29ycA,Amphetamine
Amphibians,Amphibian,Mx4rvVjgJJwpEbGdrcN5Y29ycA,Amphibian
Amphitheaters,Amphitheater,Mx4rYDzjmCTVQdeXfaOpKNkSSQ,Amphitheater
Amplifiers,Amplifier,Mx4rvjxerZwpEbGdrcN5Y29ycA,Amplifier
Analgesics,Analgesic,Mx4rvVjr8pwpEbGdrcN5Y29ycA,Analgesic
Anarchists,Anarchist,Mx4rwMXTh5wpEbGdrcN5Y29ycA,Anarchist
Anchovies,Anchovy,Mx4rwHMX8JwpEbGdrcN5Y29ycA,Anchovy
Quechua,AndeanLanguageFamily,Mx4rvVj_7JwpEbGdrcN5Y29ycA,AndeanLanguageFamily
Andorra,Andorra,Mx4rvVj5YpwpEbGdrcN5Y29ycA,Andorra
Androgens,Androgen,Mx4rvVr9A5wpEbGdrcN5Y29ycA,Androgen
Anesthesia,Anesthesia,Mx4rwP1To5wpEbGdrcN5Y29ycA,Anesthesia
Anesthesiologists,Anesthesiologist,Mx4rvVjYJJwpEbGdrcN5Y29ycA,Anesthesiologist
Anesthetics,Anesthetic,Mx4rvVjFtJwpEbGdrcN5Y29ycA,Anesthetic
Angels,Angel,Mx4rwQBmFJwpEbGdrcN5Y29ycA,Angel
Angiosperms,AngiospermSpecies,Mx4rvViPFpwpEbGdrcN5Y29ycA,AngiospermSpecies
Angola,Angola,Mx4rvVjloJwpEbGdrcN5Y29ycA,Angola
Anhui,Anhui_ProvinceChina,Mx4rv9f36JwpEbGdrcN5Y29ycA,Anhui-ProvinceChina
Fauna,Animal,Mx4rvViwMZwpEbGdrcN5Y29ycA,Animal
Action,AnimalActivity,Mx4rvViNqpwpEbGdrcN5Y29ycA,AnimalActivity
Anime,Anime,Mx4rwUcs75wpEbGdrcN5Y29ycA,Anime
Animism,AnimistReligion,Mx4rvVjOHZwpEbGdrcN5Y29ycA,AnimistReligion
Anions,Anion,Mx4rpimUiuqPQdaJL4eopsni5w,Anion
Najaf,AnNajafProvinceIraq,Mx4rwBW7JpwpEbGdrcN5Y29ycA,AnNajafProvinceIraq
Worms,Annelida,Mx4rvjC0vZwpEbGdrcN5Y29ycA,Annelida
Anonymity,Anonymity,Mx4rPgPXQCtlEdiUgQAH6RYvSQ,Anonymity
Anorectics,Anorectic,Mx4rwP1X7ZwpEbGdrcN5Y29ycA,Anorectic
Ants,Ant,Mx4rvVjecpwpEbGdrcN5Y29ycA,Ant
Antacids,Antacid,Mx4rwP1Y15wpEbGdrcN5Y29ycA,Antacid
Antennas,Antenna,Mx4rvVjSAZwpEbGdrcN5Y29ycA,Antenna
Antibiotics,Antibiotic,Mx4rvVikl5wpEbGdrcN5Y29ycA,Antibiotic
Anticoagulants,Anticoagulant,Mx4rvV3NUpwpEbGdrcN5Y29ycA,Anticoagulant
Anticonvulsants,Anticonvulsant,Mx4rvVoFpJwpEbGdrcN5Y29ycA,Anticonvulsant
