Abbreviations,Mx4rwGPa8pwpEbGdrcN5Y29ycA,Abbreviation
Hypotheses,Mx4rBZ7CSpnAEdqAAAACs6hRXg,AbductiveInferenceProcess
Abortifacients,Mx4rvgSuQpwpEbGdrcN5Y29ycA,Abortifacient
Accidents,Mx4rvViib5wpEbGdrcN5Y29ycA,Accident
Dividends,Mx4rMKGOCrvMEdmAAAACs6hRjg,Accumulation-Profits
Acids,Mx4rES1yRgrWEdaAAABQ2sS97g,AcidType
Acrobats,Mx4rv5EdKZwpEbGdrcN5Y29ycA,Acrobat
Acronyms,Mx4rvWHOBJwpEbGdrcN5Y29ycA,Acronym
Actinomycetales,Mx4rvtYh_ZwpEbGdrcN5Y29ycA,Actinomycetales-Order
Actuaries,Mx4rsYyNlohwEdqAAAACs6hRXg,Actuary
Dames,Mx4rvVix8ZwpEbGdrcN5Y29ycA,AdultFemaleHuman
Women,Mx4rvVix8ZwpEbGdrcN5Y29ycA,AdultFemaleHuman
Advertisements,Mx4rwP2CJJwpEbGdrcN5Y29ycA,Advertisement-PCW
Advocates,Mx4rkpnEysksEdmAAAACs6hRjg,Advocate
Aerosols,Mx4rwQBj4pwpEbGdrcN5Y29ycA,AerosolStuff
Affricates,Mx4rwK4e95wpEbGdrcN5Y29ycA,Affricative-Consonant
Erithacus,Mx4rv7vR5ZwpEbGdrcN5Y29ycA,AfricanGreyParrot
Symptoms,Mx4rwQwYVpwpEbGdrcN5Y29ycA,AilmentCondition
Syndromes,Mx4rv7sZaZwpEbGdrcN5Y29ycA,AilmentConditionTypeBySyndrome
Airfields,Mx4rT2uByCTVQdeVZZaE0030Zg,Airfield
Airlines,Mx4rvViq7pwpEbGdrcN5Y29ycA,AirlineCompany
Airports,Mx4rvVj-r5wpEbGdrcN5Y29ycA,Airport-Physical
Albums,Mx4rwLmi3JwpEbGdrcN5Y29ycA,Album-CW
Alcohols,Mx4rvVim-JwpEbGdrcN5Y29ycA,Alcohol-Compound
Algae,Mx4rvVkEu5wpEbGdrcN5Y29ycA,AlgaeSubkingdom
Metals,Mx4rIrv2DuxiQdaVSb11xsRi0A,AlkalineEarthMetalElementType
Alkaloids,Mx4rvVkK35wpEbGdrcN5Y29ycA,Alkaloid
Alkanes,Mx4rydvDMuzqQdaLvdv5ptfzVQ,Alkane
Almanacs,Mx4rvVjZxJwpEbGdrcN5Y29ycA,Almanac
Almonds,Mx8Ngh4rvVipdpwpEbGdrcN5Y29ycB4rhb27_IY2QdeEBbPcSwE6yA,"[:FruitFn, :AlmondTree]"
Altars,Mx4rvViUsJwpEbGdrcN5Y29ycA,AltarStage
Alps,Mx4rOEO5eLllQdePBrf7ILo0VQ,Altay-ProvinceRussia
Ambassadors,Mx4rvrr-aZwpEbGdrcN5Y29ycA,Ambassador
Bison,Mx4rvhr0dJwpEbGdrcN5Y29ycA,AmericanBison
Amines,Mx4rv1_6HJwpEbGdrcN5Y29ycA,Amine
Emirs,Mx4rvViZ-pwpEbGdrcN5Y29ycA,Amir-HeadOfState
Amphetamines,Mx4rwP1bk5wpEbGdrcN5Y29ycA,Amphetamine
Amphibians,Mx4rvVjgJJwpEbGdrcN5Y29ycA,Amphibian
Amphitheaters,Mx4rYDzjmCTVQdeXfaOpKNkSSQ,Amphitheater
Amplifiers,Mx4rvjxerZwpEbGdrcN5Y29ycA,Amplifier
Analgesics,Mx4rvVjr8pwpEbGdrcN5Y29ycA,Analgesic
Anarchists,Mx4rwMXTh5wpEbGdrcN5Y29ycA,Anarchist
Anchovies,Mx4rwHMX8JwpEbGdrcN5Y29ycA,Anchovy
Quechua,Mx4rvVj_7JwpEbGdrcN5Y29ycA,AndeanLanguageFamily
Androgens,Mx4rvVr9A5wpEbGdrcN5Y29ycA,Androgen
Anesthesiologists,Mx4rvVjYJJwpEbGdrcN5Y29ycA,Anesthesiologist
Anesthetics,Mx4rvVjFtJwpEbGdrcN5Y29ycA,Anesthetic
Angels,Mx4rwQBmFJwpEbGdrcN5Y29ycA,Angel
Angiosperms,Mx4rvViPFpwpEbGdrcN5Y29ycA,AngiospermSpecies
Anime,Mx4rwUcs75wpEbGdrcN5Y29ycA,Anime
Anions,Mx4rpimUiuqPQdaJL4eopsni5w,Anion
Anorectics,Mx4rwP1X7ZwpEbGdrcN5Y29ycA,Anorectic
Ants,Mx4rvVjecpwpEbGdrcN5Y29ycA,Ant
Antacids,Mx4rwP1Y15wpEbGdrcN5Y29ycA,Antacid
Antennas,Mx4rvVjSAZwpEbGdrcN5Y29ycA,Antenna
Antibiotics,Mx4rvVikl5wpEbGdrcN5Y29ycA,Antibiotic
Anticoagulants,Mx4rvV3NUpwpEbGdrcN5Y29ycA,Anticoagulant
Anticonvulsants,Mx4rvVoFpJwpEbGdrcN5Y29ycA,Anticonvulsant
Antidepressants,Mx4rvWUZl5wpEbGdrcN5Y29ycA,Antidepressant
Antiemetics,Mx4rwP1Y95wpEbGdrcN5Y29ycA,AntiEmetic
Antihistamines,Mx4rwP1Z_ZwpEbGdrcN5Y29ycA,Antihistamine
Antioxidants,Mx4rvjFAqpwpEbGdrcN5Y29ycA,Antioxidant
Antipyretics,Mx4rwP1aN5wpEbGdrcN5Y29ycA,Antipyretic
Antiseptics,Mx4rvVtYsZwpEbGdrcN5Y29ycA,Antiseptic
Anxiolytics,Mx4rwP34cpwpEbGdrcN5Y29ycA,Anxiolytic
Apartments,Mx4rvVixF5wpEbGdrcN5Y29ycA,ApartmentUnit
Apes,Mx4rvVicmpwpEbGdrcN5Y29ycA,Ape
Appetizers,Mx4rvVkEgJwpEbGdrcN5Y29ycA,Appetizer
Apples,Mx4rvVjBnZwpEbGdrcN5Y29ycA,AppleTree
Aprons,Mx4rvVirR5wpEbGdrcN5Y29ycA,Apron
Aqueducts,Mx4rGDBL3tSzQdaKOcti1qFoQw,Aqueduct
