ABSResin,acrylonitrile-butadiene-styrene resin,Thermoplastic
ACAcecaCar,Aceca,Automobile,ManufacturedGoods
ACEInhibitor,ACE inhibitor,AntihypertensiveDrugSubstance
AIDS,AIDS,HIVInfection,LifeThreateningCondition
AIDSClinic,AIDS clinic,MedicalClinic
AIDSDrugCocktail,AIDS drug cocktail,DrugCocktail
AIDSSpecialist,AIDS specialist,Doctor_Medical
AIResearchDepartment,AI research department,ComputerScienceDepartment,ResearchAndDevelopmentDepartment,TechnologyOrganization
AMGenCar,AM General vehicle,AmericanAutomobile
AMState,AM state,umbel#Products
ANT,ANT,umbel#Notations
ANZUS,ANZUS,umbel#Organizations
ASCII,ASCII,umbel#StructuredInfo
ASCII_Art,ASCII art,umbel#StructuredInfo,PartiallyTangible
ASEAN,ASEAN,umbel#Organizations
ASN1SyntaxSpecification,ASN 1 Syntax Specification,umbel#Notations
ATandTComputer,AT&T computer,PersonalComputer
AVIFile,AVI file,umbel#VisualInfo
AZT,AZT,DrugSubstance
AbaCloth,aba,Cloth
Aba_Garment,Aba,OuterGarment
Abatis,abati,ManMadeObstacle
Abbey,abbey,HumanResidence,ReligiousBuilding
Abbreviation,abbreviation,ProperNameString
Abdicating,renunciation,umbel#Activities,OrganizationalTransferOut
Abdomen,abdomen,AnimalBodyPart,ExternalAnatomicalPart
AbdominalAorta,abdominal aorta,SystemicArtery
AbdominalCavity,abdominal cavity,AnimalBodyPart
AbdominalExerciseDevice,ab machine,FitnessEquipment
AbdominalSurgeon,abdominal surgeon,Surgeon
AbducensNerve,abducens nerve,CranialNerve,MotorNerve
AbductiveInferenceProcess,abductive inference,umbel#TopicsCategories,Individual,Reasoning
AbductorDigitiMinimi,abductor digiti minimi muscle,SkeletalMuscle
AbkhazLanguage,Abkhaz,umbel#Notations
Ablation,ablation,PurposefulPhysicalAction,RemovingSomething
AbleBodiedSeaman,able-bodied seaman,CrewMemberOnShip,MiddleClass
AbnormalSystemCondition,abnormal condition,Situation_Localized
Abnormal_Unusual,atypical thing,TemporalThing
Abolitionism,abolitionism,umbel#Society
Abolitionist,abolitionist,HomoSapiens,Person
AbominableSnowman,abominable snowman,Biped,CoveredWithHair,Mammal,MythologicalThing
Abortifacient,abortifacient,DrugSubstance
Abortion_Intentional,aborting,BiologicalDestructionEvent,MedicalTreatmentEvent
AboutPage,About Page,WebPage_CW
Abrasive,abrasive thing,Rough
AbrinToxin,abrin,umbel#Drugs,BiologicalToxin,Powder
Absinthe,absinthe,BitterTaste,IllegalDrug,Liquor_Drink
AbsoluteSportsEvent,absolute sports event,umbel#Events
AbsoluteZero,absolute zero,umbel#Attributes
Absorbency,absorbency,DispositionalQuantity,TangiblePhysicalQuantity
AbsorptionEvent,absorption,umbel#Events,TransferIn
Abstinence,abstinence,Inaction
AbstractIndividual,abstract individual,IntangibleIndividual
AbstractInformationStructure,abstract information structure,AbstractStructure
AbstractProgrammingLanguage,programming language,ComputerLanguage
AbstractStructure,abstract structure,AbstractIndividual,AspatialInformationStore
AbyssalPlain,abyssal plain,UnderwaterTopographicalFeature
Abyssinian_Cat,Abyssinian cat,DomesticCat
Acacia,acacia,LegumeOrder,Legume_ThePlant,Plant_Woody
AcademicBookReport,book report,AcademicComposition,ProseLiteraryWork_CW
AcademicComposition,paper,umbel#WrittenInfo,PropositionalConceptualWork
AcademicCycles_Time_Topic,academic cycles time topic,Time_Topic
AcademicDepartment,academic department,AcademicOrganization,ResearchOrganization,UniversityDepartment
AcademicDepartmentTypeBySubject,type of academic department by subject-area,umbel#TopicsCategories,FacetInstanceCollection,ObjectType
AcademicEssay,essay,AcademicComposition,ProseLiteraryWork_CW
AcademicGown,academic gown,OverGarment,Robe
AcademicOrganization,academic organization,EducationalOrganization
AcademicProfessional,academic,LiterateAgent,Researcher,SkilledWorker
AcademicQuarter,academic quarter,AcademicTerm
AcademicSemester,semester,AcademicTerm
AcademicTerm,academic term,umbel#Time,Container_Underspecified,Situation_Localized
AcademicTest,academic test,NonfictionalPCW
AcademicTesting,academic testing,HumanActivity,NonNaturalThing,PerformanceTesting
AcademicTrimester,trimester,AcademicTerm
AcademicYear,academic year,AcademicTerm
AcademicYear_American,academic year american,AcademicYear
AcademyAward,Academy Award,AwardPractice
AcademyAwardCategory,academy award category,MotionPictureAwardCategory
AcademyAwardsCeremony,Academy Awards ceremony,AwardsCeremony
AcademyOfMotionPictureArtsAndSciences,the Academy of Motion Picture Arts and Sciences,umbel#Organizations
Acanthite,acanthite,Mineral
Acceleration,acceleration,PhysicalQuantity,Rate
AccelerationClause,acceleration clause,umbel#WrittenInfo,Obligation
AccentFurniture,accent furniture,FurniturePiece
Accepted,accepted,Proposal
AccessCorridor,corridor ,Path_Customary
AccessNumber,access number,PhoneNumber
AccessoryNerve,accessory nerve,CranialNerve,MotorNerve
Accident,accident,PhysicalEvent
AccipitrineFamily,Accipitridae,FalconiformOrder
Accommodating_HelpingAnAgent,accommodation,HelpingAnAgent
AccomplishmentType,type of accomplishment,SituationalObjectType,TemporalObjectType
Accordion,accordion,Artifact_HumanCreated,MusicalInstrument,PortableObject
Account,account,NormativeSpecification
AccountActive,active account,umbel#StructuredInfo
AccountInactive,inactive account,umbel#FinanceEconomy
AccountManager,account manager,Administrator,BusinessPerson,Manager
AccountOperatorAccount,account operator account,PrivilegedAccount
AccountPending,account pending thing,umbel#FinanceEconomy
AccountSystem,account system,ComputerNetwork
AccountSystemTypeByImplementationMeans,type of account system,ExistingObjectType
AccountType,type of account,ObjectType,TemporalStuffType
AccountTypeByStatus,account status,umbel#TopicsCategories,FacetInstanceCollection
Accountant,accountant,DeskWorker,Professional
AccountingClerk,accounting clerk,DeskWorker
AccountingDepartment,accounting department,FinanceDepartment
AccountingFirm,accounting firm,CommercialServiceOrganization,FinancialOrganization,PrivateSectorOrganization,ProfessionalServiceOrganization
AccountingProgram,accounting software,BusinessComputerProgram,FinancialProgram
AccountingReport,accounting report,FinancialDocument
AccountingUse,accounting use,Computer
AccountsPayableDepartment,accounts payable department,AccountingDepartment
AccountsPayableWorker,accounts payable clerk,DeskWorker
AccountsReceivableDepartment,accounts receivable department,AccountingDepartment
Accreditation,accreditation,Credential
AccreditationEvent,accreditation,ChangeOfStatusEvent
AccruingInterest,accruing interest,umbel#Activities
AccumulatingSteadily,building up,umbel#Activities,IntrinsicStateChangeEvent
