ANT,ANT,
Air_travel_467,air travel,,,Travel-TripEvent
American_football_equipment,American football equipment,
Anthrax,anthrax,
Area_with_historical_buildings,area with historical buildings,,
Ash_472,ash,
CatholicChurch,Catholic Church,
Central_Asia,Central Asia,
Chemistry_761,chemistry,
Clinical_pharmacology,clinical pharmacology,
Coconut_186,coconut,
Depository_financial_institution,depository financial institution,
DrainageDivide,divide,Path-Spatial
Economist_327,economist,,
Homophobe_13,homophobe,,
Immunology_762,immunology,
Metrology,metrology,
Motel,Motel,
MusicStore,Music Store,
Sexist_19,sexist,,
Water_241,water,,,
Western_Europe,Western Europe,
Xenophobe_26,xenophobe,,
Zoological_garden_178,zoological garden,Facility-Generic,
