AboutPage,About Page,WebPage_CW
AdultEntertainment,Adult Services,Entertainment_service_company
AggregateOffer,Aggregate Offering,OfferingForSale
AggregateRating,Aggregate Rating,SocialQuantity
AlphaAdrenergicBlockingAgent,,umbel#Drugs
AmericanSamoaAncientCivilization,,umbel#Geopolitical
AntibodyType,,umbel#NaturalSubstances
Arrugado_Undersea,undersea arrugado,UnderwaterTopographicalFeature
AslyumBuilding,asylum,Building
AsphaltLake,asphalt lake,TopographicalFeature,Unrefined_oil
AthleticActivityAttackOnObject,,umbel#Activities
AutomobileIndustryAntiqueFurnitureMarketCategory,,umbel#MarketsIndustries
AutomotiveBusiness,Automotive Business,Business
BakingSoda,,umbel#FoodDrink
Battles,,umbel#Events
BiologicalCatabolismEvent,catabolism,BiologicalDestructionEvent,BiologicalMetabolismEvent
BiologicalProcessType,,umbel#TopicsCategories
BlogPosting,Blog Posting,OnlineArticle
BodyOfWater_Flowing,flowing body of water,BodyOfWater
BodyOfWater_Small,small body of water,BodyOfWater
Bush_Clump,bush(es),BushyTerrain,OutdoorLocation
BusinessCenter,business center,GroundsOfOrganization,Workplace
CattleDriveCelebration,,umbel#Events
Cavity_Undersea,undersea hole,UnderwaterTopographicalFeature
CellPartEnzymatic,,umbel#NaturalSubstances
Cereal_food_science,cereal food science,umbel#TopicsCategories
Channel_Lake,lake channel(s),Channel_WaterPath
Channel_Narrows,narrows,Channel_WaterPath
Check_TenderObjectAccount,,umbel#FinanceEconomy
CheckoutPage,Checkout Page,WebPage_CW
ChildrensEvent,Childrens Event,SocialOccurrence
CoOption_ElectionCoronation,,umbel#Events
CoastGuardStation,coast guard station,GroundsOfOrganization
CollectionPage,Collection Page,WebPage_CW
Collection_Group,,umbel#AbstractLevel
CommunalWorshipServiceCommunicationAct_Single,,umbel#Events
Concentration_PartsPerVolume,concentration expressed part per volume,ConcentrationStrength
Cone_Topographical,cone(s),TopographicalFeature
ContactPage,Contact Page,WebPage_CW
Continental_Rise_Undersea,undersea continental rise,UnderwaterTopographicalFeature
ContractNegotiationControllingTrafficConvention_Local,,umbel#Events
Cordillera_Undersea,undersea cordillera,UnderwaterTopographicalFeature
Crafts_as_a_hobbyCreditCardFraud,,umbel#Events
Crematorium,Crematorium,Facility_Construct
DaySpa,Day Spa,Beauty_CosmeticsOrganization
DefenceEstablishment,Defense Establishment,MilitaryFacility
Diode_Microelectronic,,umbel#Products
Distributary,distributary(-ies),Channel_WaterPath
DrugProduct,,umbel#Drugs
EconomicDevelopmentRegion,economic region,GeopoliticalEntity,Region
Education_psychology,,umbel#TopicsCategories
ElectronicsStore,Electronics Store,RetailStore
ElementStuf,,umbel#NaturalSubstances
EmploymentAgency,Employment Agency,EmploymentOrganization
Enzymatic,,umbel#NaturalSubstances
Escarpment_Undersea,undersea escarpment (or scarp),UnderwaterTopographicalFeature
EukaryoticDNAMolecule,eukaryotic DNA,DNAMolecule
Events,,umbel#Events
Facility_Government_US,united states government establishment,GroundsOfOrganization
Facilty_Educational,educational facility,Facility_Generic
Facilty_Water,water facility,ArtificialWaterFeature
FeatureType,,umbel#TopicsCategories
Flat_Topographical_Undersea,undersea flat,UnderwaterTopographicalFeature
