000,{{en-proper noun}}
007,{{en-proper noun}}
10 Downing Street,{{en-proper noun|head=[[10]] [[Downing Street]]}}
10th Cir.,{{en-proper noun|head=[[10th]] [[Cir.]]}}
112,{{en-proper noun}}
11th Cir.,{{en-proper noun|head=[[11th]] [[Cir.]]}}
1600 Pennsylvania Avenue,{{en-proper noun|head=1600 [[Pennsylvania]] [[avenue|Avenue]]}}
1992,{{en-proper noun}}
1 Chr,{{en-proper noun}}
1 Chron.,{{en-proper noun}}
1 Chronicles,{{en-proper noun}}
1 Cor,{{en-proper noun}}
1 Cor.,{{en-proper noun}}
1 Corinthians,{{en-proper noun}}
1G,{{en-proper noun}}
1H4,{{en-proper noun}}
1H6,{{en-proper noun}}
1 Jn,{{en-proper noun|head=[[1]] [[Jn]]}}
1 John,{{en-proper noun}}
1 KG,{{en-proper noun|head=[[1]] [[KG]]}}
1 Kgs,{{en-proper noun}}
1 Kings,{{en-proper noun}}
1 Maccabees,{{en-proper noun}}
1 Macc.,{{en-proper noun}}
1 Pet.,{{en-proper noun}}
1 Peter,{{en-proper noun}}
1 Sam.,{{en-proper noun}}
1 Samuel,{{en-proper noun}}
1st Cir.,{{en-proper noun|head=[[1st]] [[Cir.]]}}
1 Thessalonians,{{en-proper noun}}
1 Thess.,{{en-proper noun}}
1 Tim.,{{en-proper noun}}
1 Timothy,{{en-proper noun}}
23 Skidoo Street,{{en-proper noun|head=[[23 skidoo|23 Skidoo]] [[street|Street]]}}
24 Sussex Drive,{{en-proper noun|head=24 [[Sussex]] [[drive|Drive]]}}
24 Sussex Street,{{en-proper noun}}
2 Chr,{{en-proper noun}}
2 Chron.,{{en-proper noun}}
2 Chronicles,{{en-proper noun}}
2 Cor.,{{en-proper noun}}
2 Corinthians,{{en-proper noun}}
2d Cir.,{{en-proper noun|head=[[2d]] [[Cir.]]}}
2 Joh.,{{en-proper noun}}
2 John,{{en-proper noun}}
2 Kgs,{{en-proper noun}}
2 Kings,{{en-proper noun}}
2 Maccabees,{{en-proper noun}}
2 Macc.,{{en-proper noun}}
2 Pet.,{{en-proper noun}}
2 Peter,{{en-proper noun}}
2 Sam.,{{en-proper noun}}
2 Samuel,{{en-proper noun}}
2 Thessalonians,{{en-proper noun}}
2 Thess.,{{en-proper noun}}
2 Tim.,{{en-proper noun}}
2 Timothy,{{en-proper noun}}
3d Cir.,{{en-proper noun|head=[[3d]] [[Cir.]]}}
3 John,{{en-proper noun}}
3 Kgs,{{en-proper noun}}
3 Kings,{{en-proper noun}}
42,{{en-proper noun}}
4-H,{{en-proper noun|head=[[4]]-[[H]]|-}}
4 Kgs,{{en-proper noun}}
4 Kings,{{en-proper noun}}
4th Cir.,{{en-proper noun|head=[[4th]] [[Cir.]]}}
52-card pickup,{{en-proper noun|head=[[52]]-[[card]] [[pickup]]}}
52 pickup,{{en-proper noun|head=[[52]] [[pickup]]}}
5th Cir.,{{en-proper noun|head=[[5th]] [[Cir.]]}}
6th Cir.,{{en-proper noun|head=[[6th]] [[Cir.]]}}
7-11,{{en-proper noun}}
7/7,{{en-proper noun}}
7th Cir.,{{en-proper noun|head=[[7th]] [[Cir.]]}}
8th Cir.,{{en-proper noun|head=[[8th]] [[Cir.]]}}
9-1-1,{{en-proper noun}}
9/11,{{en-proper noun}}
911,{{en-proper noun}}
96,{{en-proper noun}}
99,{{en-proper noun}}
9th Cir.,{{en-proper noun|head=[[9th]] [[Cir.]]}}
A4,{{en-proper noun}}
AAAAI,{{en-proper noun}}
AAASA,{{en-proper noun|undefined}}
AAASUSS,{{en-proper noun|undefined}}
AABEVM,{{en-proper noun|undefined}}
AABGA,{{en-proper noun|undefined}}
AABH,{{en-proper noun|undefined}}
AABI,{{en-proper noun|undefined}}
AABL,{{en-proper noun|undefined}}
AABM,{{en-proper noun|undefined}}
AABPDF,{{en-proper noun|undefined}}
AABP,{{en-proper noun|undefined}}
AABT,{{en-proper noun|undefined}}
AABTM,{{en-proper noun|undefined}}
AACA,{{en-proper noun|undefined}}
AACAP,{{en-proper noun}}
AACBC,{{en-proper noun|undefined}}
AACB,{{en-proper noun|undefined}}
AACBP,{{en-proper noun|undefined}}
aacc,{{en-proper noun|undefined}}
AACCLA,{{en-proper noun|undefined}}
AACCP,{{en-proper noun|undefined}}
AACD,{{en-proper noun}}
AACDP,{{en-proper noun|undefined}}
AACE,{{en-proper noun|undefined}}
AAC,{{en-proper noun|undefined}}
AACFO,{{en-proper noun|undefined}}
Aachen,{{en-proper noun}}
Aach,{{en-proper noun}}
AACHS,{{en-proper noun|undefined}}
AACI,{{en-proper noun|undefined}}
AACJC,{{en-proper noun|undefined}}
AACL,{{en-proper noun|undefined}}
AACM,{{en-proper noun|undefined}}
AACOBS,{{en-proper noun|undefined}}
AACO,{{en-proper noun|undefined}}
AACPA,{{en-proper noun|undefined}}
AACP,{{en-proper noun|undefined}}
AACPP,{{en-proper noun|undefined}}
AACPR,{{en-proper noun|undefined}}
AACRAO,{{en-proper noun|undefined}}
AACR,{{en-proper noun|undefined}}
AACSA,{{en-proper noun|undefined}}
AACSB,{{en-proper noun|undefined}}
AACSCEDR,{{en-proper noun|undefined}}
AACS,{{en-proper noun|undefined}}
AACSL,{{en-proper noun|undefined}}
AACTE,{{en-proper noun|undefined}}
AACT,{{en-proper noun|undefined}}
AACTP,{{en-proper noun|undefined}}
AACUBO,{{en-proper noun|undefined}}
AADA,{{en-proper noun|undefined}}
AADAOPA,{{en-proper noun|undefined}}
AADB,{{en-proper noun|undefined}}
AADC,{{en-proper noun|undefined}}
AADE,{{en-proper noun|undefined}}
AAD,{{en-proper noun|undefined}}
AADGB,{{en-proper noun|undefined}}
AA,{{en-proper noun}}
AAFA,{{en-proper noun}}
AAFES,{{en-proper noun}}
AAFP,{{en-proper noun}}
AAFPRS,{{en-proper noun}}
AAGP,{{en-proper noun}}
AAKP,{{en-proper noun}}
Aaland Islands,{{en-proper noun|head=[[Aaland]] [[Islands]]}}
Aalborg,{{en-proper noun}}
Aalenian,{{en-proper noun}}
Aalesund,{{en-proper noun}}
Aaliyah,{{en-proper noun}}
Aalst,{{en-proper noun}}
AAMFT,{{en-proper noun}}
AAMGA,{{en-proper noun}}
AANT,{{en-proper noun}}
Aanya,{{en-proper noun}}
AAOS,{{en-proper noun}}
AAP,{{en-proper noun}}
AAPS,{{en-proper noun}}
Aarau,{{en-proper noun}}
Aar,{{en-proper noun}}
Aargau,{{en-proper noun}}
Aarhus,{{en-proper noun}}
Aari,{{en-proper noun}}
Aaron,{{en-proper noun}}
Aaron's confession,{{en-proper noun}}
AARP,{{en-proper noun}}
Aarush,{{en-proper noun}}
Aasáx,{{en-proper noun}}
Aashaadha,{{en-proper noun}}
A'asia,{{en-proper noun}}
AAVE,{{en-proper noun}}
AAVSO,{{en-proper noun}}
Ababil,{{en-proper noun}}
Abadan,{{en-proper noun}}
Abaddan,{{en-proper noun|s}}
Abaddon,{{en-proper noun|s}}
Abaga,{{en-proper noun}}
Abai Sungai,{{en-proper noun}}
Abakan,{{en-proper noun}}
ABAKO,{{en-proper noun|-}}
Abanga,{{en-proper noun}}
Abanyom,{{en-proper noun}}
Abar,{{en-proper noun}}
Abau,{{en-proper noun}}
Abaza,{{en-proper noun}}
Abbas,{{en-proper noun}}
Abbasi,{{en-proper noun}}
Abbeville,{{en-proper noun}}
Abbevillian,{{en-proper noun}}
Abbey,{{en-proper noun}}
Abbeystead,{{en-proper noun}}
Abbie,{{en-proper noun}}
Abbi,{{en-proper noun}}
Abbot,{{en-proper noun}}
Abbottabad,{{en-proper noun}}
Abbott,{{en-proper noun}}
Abby,{{en-proper noun}}
ABC Islands,{{en-proper noun}}
ABCs,{{en-proper noun}}
Abdallah,{{en-proper noun}}
Abd Allah,{{en-proper noun|-}}
Abdals,{{en-proper noun}}
Abdera,{{en-proper noun}}
Abdias,{{en-proper noun}}
Abdinasir,{{en-proper noun}}
Abdon,{{en-proper noun|s|-}}
Abdulah,{{en-proper noun|-}}
Abdulaziz,{{en-proper noun}}
Abdul,{{en-proper noun}}
Abdu'llah,{{en-proper noun|-}}
Abdullah,{{en-proper noun}}
Abdullatif,{{en-proper noun}}
Abdulmalik,{{en-proper noun}}
Abdunnasir,{{en-proper noun}}
Abednego,{{en-proper noun}}
Abe,{{en-proper noun}}
Abé,{{en-proper noun}}
Abelam,{{en-proper noun}}
Abelard,{{en-proper noun}}
Abel,{{en-proper noun}}
Abellen Ayta,{{en-proper noun}}
Abelson,{{en-proper noun}}
Abenaki,{{en-proper noun}}
Abenlen,{{en-proper noun|s|pl2=Abenlen}}
Ab,{{en-proper noun}}
Ab,{{en-proper noun|s}}
Abeokuta,{{en-proper noun|-}}
