IntelligentAgent,123
Amphibian,291
Animal,642
Arthropod,1705
Artifact-Generic,409
Artifact-Communication,1
AspatialInformationStore,464
AudioConceptualWork,89
BiologicalLivingObject,382
Bird,802
ChemicalObject,1
CommercialOrganization,337
ColoredThing,74
ConceptualWork,52
ConstructionArtifact,562
Drink,134
EdibleStuff,442
ElectronicDevice,1
Event,982
FictionalThing,30
Fish,189
FloweringPlant,885
Food,296
GeopoliticalEntity,233
GrassFamily,243
Group,63
HandTool,1
Person,2325
InanimateObject-Natural,100
InorganicMaterial,513
Mammal,1240
MathematicalOrComputationalThing,533
MechanicalDevice,352
Microorganism,660
MusicalInstrument,1
NonProfitOrganization,74
OrganicMaterial,722
OrganismPart,935
Organization,567
PhysicalDevice,852
Place-NonAgent,513
Plant,971
Plant-Woody,592
PoweredDevice,546
Product,697
PropositionalConceptualWork,849
Reptile,542
SomethingToWear,1
Situation,711
Technology-Artifact,1
Thing,688
TimeInterval,63
TransportationDevice,851
VisualWork,103
Weapon,1
Translation-LocationChange,1
EconomicAction,1
MilitaryEvent,1
TransferIn,1
TransferOut,1
Action,1
PurposefulPhysicalAction,1
CreationOrDestructionEvent,1
Relation,1
GeometricFigure,1
IntrinsicStateChangeEvent,1
Number-General,1
GeographicalRegion,1
InformationBearingThing,1
