IntelligentAgent,123
Animal,642
Artifact-Generic,409
AspatialInformationStore,464
BiologicalLivingObject,382
ChemicalObject,1
CommercialOrganization,337
ColoredThing,74
ConceptualWork,52
ConstructionArtifact,562
Drink,134
EdibleStuff,442
Event,982
FictionalThing,30
Food,296
GeopoliticalEntity,233
Group,63
Person,2325
InanimateObject-Natural,100
InorganicMaterial,513
MathematicalOrComputationalThing,533
Microorganism,660
NonProfitOrganization,74
OrganicMaterial,722
OrganismPart,935
Organization,567
PhysicalDevice,852
Place-NonAgent,513
Plant,971
Product,697
Situation,711
Technology-Artifact,1
Thing,688
TimeInterval,63
Weapon,1
Action,1
Relation,1
GeometricFigure,1
Number-General,1
GeographicalRegion,1
InformationBearingThing,1
