AspatialInformationStore,388
Organization,565
SelfPoweredDevice,111
Person,2318
Sandwich,25
FictionalThing,19
Thing,1094
ConceptualWork,646
DevisedPracticeOrWork,73
Action,2080
GeopoliticalEntity,292
Music,46
GeographicalRegion,56
IntelligentAgent,82
Animal,5386
BiologicalLivingObject,215
NonProfitOrganization,74
Building,62
Place-NonAgent,18
MathematicalOrComputationalThing,475
TopographicalFeature,127
TextualMaterial,32
OfficialDocument,29
Situation,76
ConceptualWorkSeries,37
Artifact-Generic,153
PoweredDevice,330
Mountain,4
CommercialOrganization,337
InternalCombustionPoweredDevice,386
Event,1033
SoftwareObject-Individual,5
WritingSystem,4
MultiIndividualAgent-Intelligent,36
Tournament,1
ConstructionArtifact,95
MountainRange,2
Group,72
Algorithm,6
Technology-Artifact,9
Informing,27
BookCopy,3
PhysicalDevice,536
ComputerProgram-CW,275
ConstructedHumanLanguage,2
"[:GroupFn, :Island]",1
ArtificialLanguage,13
SupernaturalBeing,10
HumanOccupationConstruct,35
House-Modern,6
Gun-Portable,27
Weapon,16
AssaultRifle,12
Stream,8
InanimateObject-Natural,91
Song-Sung,1
TimeInterval,63
CharacterString,58
Garden,2
ModernShelterConstruction,13
Shoreline,6
OfficeBuilding,4
FoodComposite,49
OrganicMaterial,444
InformationStorageMedia,9
Neighborhood,13
Volcano,4
Missile,26
Promontory,5
MagazineCopy,1
Foundry-Building,1
"[:GroupFn, :AstronomicalBody]",4
SoftwareObject,1
MilitaryVehicle,17
HandTool,85
SportsPoundingDrivingImplement,8
Club-Weapon,1
VisualInformationBearingThing,86
Tunnel,2
Valley,5
Gun,12
Destroyer,1
AntiAircraftWeapon,1
"[:CollectionUnionFn, [:TheSet, :""Airport-Physical"", :""Heliport-Physical""]]",6
Monument,7
MemorialMarker,2
Tomb,1
FieldArtillery,3
Airplane,19
PartiallyTangibleProduct,140
Holdings,6
DynamicIndexedInfoSource,11
InformationBearingPerformance,14
ComputerNetwork,12
PerformingArtActivity,24
SurfaceToAirMissile,1
RecordedSoundProduct,3
"[:CollectionIntersection2Fn, :EcologicalRegion, :LandTopographicalFeature]",40
AthleticField,5
OutdoorRecreationArea,13
ComputationalSystem,46
Warplane,11
GeopoliticalRegion,1
GeographicalAgent,4
Radio,1
ObstacleSystem-Military,1
FixedStructure,23
SchoolBuilding,1
Superhero,3
Bridge,11
SomethingToWear,166
Relation,166
RadiologicalExplosiveWeapon,4
NewspaperCopy,1
HumanResidenceArea,14
PowerGenerationComplex,5
ProjectileWeapon,3
EagleCoin-US,1
WordProcessingProgram-Visual,2
Terminal-TransferPoint,4
Seaport,1
"[:CollectionIntersection2Fn, :ManufacturingFacility, :HeavyIndustryFacility]",5
DetachedHouse,4
Submarine,4
MilitaryWeapon,6
Drink,14
AlcoholicBeverage,70
Fountain-ArtObject,1
MultiSportsEventSportsCompetition,8
ProteinMolecule,105
Battleship,1
Railway,4
HouseholdAppliance,36
WrittenCharacterSequence,1
OrganismPart,610
Food,111
Roadway,23
Cheese,25
Product,2
ComputerFile-CW,5
ComputerDataArtifact-Generic,3
Cairn,1
Piling,1
Hill,6
Mound-ConstructionArtifact,1
Epidemic,3
CartesianCoordinateSystem,1
TransportHelicopter,1
MilitaryHelicopter,7
Helicopter,1
SpaceInAFixedHOC,69
Theater-PhysicalStructure,1
InformationBearingThing,38
WildernessPark,6
Currency,8
IndexedInformationSource,5
Number-General,22
SeaportFacility,1
SymbolicObject,9
WrittenRecord,2
Dagger,1
Platform-Military,8
EcologicalRegion,19
SocialNetworkingSite,2
ConventionCenter,1
SocialBeliefSystem,1
ComputerMarketCategory,2
Stadium,4
Dictionary,4
MechanicalDevice,64
NuclearBomb,3
AerialBomb,2
HotelBuilding,1
SystemOfDevices,9
Canal,5
Engine,10
TransportFacility,5
Gunpowder,1
Satellite-Device,8
WorldWideWebClientProgram,1
BuildingCluster,6
Plant,2066
HondaCar,1
MagneticComputerStorageDevice,4
GroundsOfOrganization,21
Soup,8
VideoGameSystem,1
Dam,9
PowerPlantBuilding,2
HydroelectricDam,1
Honey,1
EdibleStuff,43
Humvee,1
CarbonatedBeverage,12
ModernNavalShip,10
AircraftCarrier,4
SpaceLaunchFacility,1
AttackHelicopter,1
Graveyard,1
MissileLauncher,1
Counting,2
LandMine,1
WorldWideWebSite,3
Bow-Weapon,3
Submarine-Military,8
Cafe-Place,1
ColoredThing,71
Street-Generic,7
MagneticTape,1
Grave,1
Robot,2
Stratovolcano,1
Bomb-MolotovCocktail,1
Bomb,8
HandGrenade,9
PageOfPaper-IBO,1
Napalm,1
EdibleFish,44
Mine-Weapon,2
NuclearReactor,1
ScientificInstrument,17
ComputerFile-Abstract,1
RecordPlayer,1
MediaPlayingDevice,9
SmallArm-Weapon,3
ComputerDatabase-CW,4
Sea,2
WaterwayLock,1
Polynucleotide,7
LegalCode,3
Sword,3
SpaceShuttle,1
MannedSpacecraft,4
OperaHouse,1
CatalogCopy,1
PrimitiveWeapon,1
Dune,1
Trail,1
HomeVideoGameMachine,8
Cruiser,3
Spear,2
GeometricFigure,48
LotOfLand,1
Camera,10
Tank-Vehicle,6
Scale-Specification,8
Torpedo,1
SafeHouse-Refuge,1
AmphibiousAssaultShip,1
ModernFrigate,3
PortableAudioEquipment,1
CellularTelephone,8
Warhead,1
Tree-ThePlant,376
Yeast,56
HemiascomyceteClass,56
Ascomycota-Division,56
Microorganism,604
ComputerNetworkingCable,1
AntiPersonnelMine,1
AntiTankWeapon,2
PalmtopComputer,3
M1AbramsTank,1
ChemicalObject,18
Artillery-SelfPropelled,3
Bulldozer,1
TrainEngine,1
Compass,1
CholinesteraseInhibitingSubstance,26
ProteinStuff,121
"[:SeedFn, :PeanutPlant]",1
AntiAircraftArtillery,1
Shield,3
EdibleStuffComposite,16
Spice,5
LaptopComputer,5
Feast,1
KavaPlant,1
GuidedMissileDestroyer,2
RefugeeCamp,1
Arrow,1
GemStone,20
PhonographRecord,3
MissileSystem,1
DigitalCamera,3
EdibleFruit,24
DirtyBomb,1
PeriodicalCopy,1
EdibleMushroom,7
ElectricalGenerator,2
Mausoleum,1
Chair-PieceOfFurniture,8
TennisTournament,5
SwimmingPool,3
Dragon,2
Fairy,3
Cartoon-Animated,2
FencingSabre,1
RailroadStation,1
Rhetoric,1
ClusterMunition,1
ClusterBomb,1
Arboretum,1
GrainOfCereal,5
SubmachineGun-Uzi,1
Brick,2
CoveredBridge,1
BlackHole,1
FoodVessel,38
Smartphone,8
PublicPark,1
Candy,19
IPod,2
WeaponSystem,3
NavalGun,1
GolfTournament,1
VideoCamera,2
BattleRifle,1
Bridge-Military,2
ZooGrounds,1
Armory,1
PostOfficeBuilding,1
SkiLift,3
HospitalBuilding,1
RadarStation-Facility,1
Bicycle,3
DepthBomb,1
EngineStarter,1
SparkPlug,1
RescueHelicopter,1
Glacier,2
Javelin,1
MedicalInjectionTool,1
ClothingOutfit,16
InformationBearingWavePropagation,33
PostageStamp,1
RocketEngine,1
CassetteDeck,1
DVDPlayer,1
Dike,1
RadioTransceiver,1
BuildingSecuritySystem,1
PropellerDrivenAirplane,2
BiologicalTissue,232
