Actor,Actor
VoiceActor,Actor-Voice
Airline,AirlineCompany
Airport,Airport-Physical
Album,Album-CW
Artist,Artist
Astronaut,Astronaut
Athlete,Athlete
MusicalWork,AudioConceptualWork
Writer,Author
Band,Band-MusicGroup
BaseballPlayer,BaseballPlayer
BasketballPlayer,BasketballPlayer
Species,BiologicalSpecies
ChristianBishop,Bishop-Clerical
Book,Book-CW
Boxer,Boxer
Brain,BrainRegionType
Bridge,Bridge
Company,Business
GrandPrix,CarRacing
Cardinal,Cardinal-CatholicBishop
SupremeCourtOfTheUnitedStatesCase,CaseHeardByTheSupremeCourt
Cave,Cave
Celebrity,Celebrity
Chancellor,Chancellor-HeadOfGovernment
ChemicalCompound,ChemicalCompoundTypeByChemicalSpecies
City,City
College,College
CollegeCoach,CollegeCoach
Comedian,Comedian
VideoGame,ComputerGameProgram-Graphical
Software,ComputerProgram-CW
Work,ConceptualWork
Convention,Convention-Meeting
Country,Country
LunarCrater,Crater-Lunar
Cricketer,Cricketer
Criminal,Criminal
Race,CyclingSportsEvent
Cyclist,Cyclist-Athlete
Disease,DiseaseType
EducationalInstitution,EducationalOrganization
Event,Event
FigureSkater,FigureSkater
FilmFestival,FilmFestival
Building,FixedStructure
FootballPlayer,FootballPlayer-American
FootballTeam,FootballTeam
FormulaOneRacer,FormulaOneRacer
HistoricPlace,HistoricalSite
HockeyTeam,HockeyTeam
HospitalBuilding,Hospital
Language,HumanLanguage
IceHockeyPlayer,IceHockeyPlayer
Infrastructure,InfrastructureProduct
Island,Island
Journalist,Journalist
Judge,Judge
Lake,Lake
Legislature,LegislativeOrganization
Congressman,Legislator
LightHouse,Lighthouse
Magazine,MagazineSeries
MilitaryConflict,MilitaryConflictEvent
MilitaryPerson,MilitaryPerson
MixedMartialArtsEvent,MixedMartialArtsEvent
MilitaryUnit,ModernMilitaryOrganization
Monarch,Monarch-HeadOfState
Mountain,Mountain
Film,Movie-CW
Municipality,Municipality
MusicFestival,MusicFestival
MusicGenre,MusicalCompositionTypeByGenre
MusicalArtist,Musician
Newspaper,NewspaperSeries
Non-ProfitOrganisation,NonProfitOrganization
Olympics,OlympicGames
AnatomicalStructure,OrganismPartType
Park,Park
Person,Person
EthnicGroup,PersonTypeByEthnicity
Drug,PharmaceuticalType
Philosopher,Philosopher
Place,Place
Planet,Planet
Musical,Play-Musical-CW
PlayboyPlaymate,PlayboyModel
Politician,Politician
Pope,Pope
PopulatedPlace,PopulatedPlace
President,President-HeadOfGovernmentOrHeadOfState
PrimeMinister,PrimeMinister-HeadOfGovernment
Model,ProfessionalModel
WrestlingEvent,ProfessionalWrestlingEvent
Protein,ProteinMoleculeTypeByChemicalSpecies
OfficeHolder,PublicOfficial
RadioStation,RadioStation-Organization
RecordLabel,RecordCompany
River,River
Road,Roadway
Saint,Saint
School,School-AcademicOrganization
Scientist,Scientist
ShoppingMall,ShoppingMallBuilding
Single,SingleRecording-CW
SkiArea,SkiArea
Skyscraper,Skyscraper
SoccerManager,SoccerCoach
SoccerPlayer,SoccerPlayer
SoccerClub,SoccerTeam
Song,Song-CW
SportsTeam,SportsTeam
Stadium,Stadium
TelevisionShow,TVSeriesProduct
TelevisionEpisode,TVShow-SingleCW
TennisPlayer,TennisPlayer
TradeUnion,TradeUnion
WorldHeritageSite,UNESCOWorldHertitageSite
Senator,USSenator
Currency,UnitOfMoney
University,University
Ship,Watercraft
Website,WebSite
WomensTennisAssociationTournament,WomensTennisAssociationTournament
Wrestler,Wrestler
Ambassador,Ambassador
Amphibian,Amphibian
Animal,Animal
Arachnid,Arachnid
Architect,Architect
Artery,Artery
Automobile,Automobile
BadmintonPlayer,BadmintonPlayer
BasketballTeam,BasketballTeam
Bird,Bird
BodyOfWater,BodyOfWater
CanadianFootballLeague,CanadianFootballLeague
Canal,Canal
CelestialBody,CelestialBody
Cleric,Cleric
ComicsCharacter,ComicsCharacter
Conifer,Conifer
Continent,Continent
Crustacean,Crustacean
Cycad,Cycad
Election,Election
Embryology,Embryology
Fern,Fern
FictionalCharacter,FictionalCharacter
Fish,Fish
FloweringPlant,FloweringPlant
Food,Food
Fungus,Fungus
Game,Game
Ginkgo,Ginkgo
GovernmentAgency,GovernmentAgency
Holiday,Holiday
Hospital,Hospital
Insect,Insect
LaunchPad,LaunchPad
LawFirm,LawFirm
Lighthouse,Lighthouse
Lymph,Lymph
Mammal,Mammal
MartialArtist,MartialArtist
Mayor,Mayor
Monument,Monument
Moss,Moss
MountainRange,MountainRange
Muscle,Muscle
Name,Name
Nerve,Nerve
Plant,Plant
PokerPlayer,PokerPlayer
PoliticalParty,PoliticalParty
Project,Project
Reptile,Reptile
ResearchProject,ResearchProject
RugbyPlayer,RugbyPlayer
SpaceMission,SpaceMission
SpaceShuttle,SpaceShuttle
SpaceStation,SpaceStation
Spacecraft,Spacecraft
Sport,Sport
SportsEvent,SportsEvent
SportsLeague,SportsLeague
Stream,Stream
TelevisionStation,TelevisionStation
Town,Town
Tunnel,Tunnel
Valley,Valley
Vein,Vein
Village,Village
Volcano,Volcano
Weapon,Weapon
AcademicJournal,JournalSeries
AdministrativeRegion,AdministrativeDistrict
Agent,Agent-Generic
Aircraft,AirTransportationDevice
AmericanFootballPlayer,FootballPlayer-American
AmericanFootballTeam,FootballTeam
ArchitecturalStructure,FixedStructure
AustralianRulesFootballPlayer,FootballPlayer-Australian
AutomobileEngine,AutoEngine
Award,AwardPractice
Bacteria,Bacterium
Beverage,Drink
Bone,Bone-BodyPart
Broadcaster,MediaOrganization
Colour,Color
Database,Database-AbstractContent
Device,PhysicalDevice
Eukaryote,EukaryoticOrganism
FootballMatch,BallAndGoalGame
Gene,Gene-HereditaryUnit
GivenName,HumanGivenName
GolfPlayer,Golfer
Grape,GrapeVine
Hotel,HotelBuilding
LegalCase,CourtCase
Library,Library-Organization
Locomotive,TrainEngine
MeanOfTransportation,TransportationDevice
MemberOfParliament,ParliamentMember
Mollusca,Mollusk
Museum,MuseumStructure
NaturalPlace,TopographicalFeature
Organisation,Organization
PeriodicalLiterature,PeriodicalSeries
PersonFunction,PersonTypeByPositionInOrg
Play,Play-CW
PowerStation,PowerPlantBuilding
ProgrammingLanguage,AbstractProgrammingLanguage
ProtectedArea,Reserve-OutdoorRegion
PublicTransitSystem,TransportFacility
RailwayLine,Railway
Restaurant,RestaurantSpace
