seq,changed?,dbpedia,umbel,status,source,comments,BLANK,hier1,hier2,hier3,hier4,hier5,hier6,hier7,,status,,source
1,,Activity,Action,OK,web+onto+v105,,,Activity,,,,,,,,???,,web+onto+v105
2,,Game,Game,OK,web+onto+v105,,,,Game,,,,,,,DROP,,web+onto
3,,BoardGame,BoardGame,OK,web+onto,,,,,BoardGame,,,,,,NEED,,web
4,,Sport,Sport,OK,web+onto+v105,,,,Sport,,,,,,,"NEED,OPENCYC",,onto
5,,Athletics,AthleticActivity,OK,web,,,,,Athletics,,,,,,NEEDED,,v105
6,,Boxing,BoxingSport_CW,OPENCYC,web,,,,,Boxing,,,,,,NOT MAPPED,,web+v105
7,,BoxingCategory,BoxingSport_CW,NEED,web,,,,,,BoxingCategory,,,,,OK,,
8,,BoxingStyle,BoxingSport_CW,NEED,web,,,,,,BoxingStyle,,,,,OKNEED,,
9,,HorseRiding,HorsebackRiding,OK,web,,,,,HorseRiding,,,,,,OPEN,,
10,,Agent,Agent_Generic,OK,web+onto,,,Agent,,,,,,,,"OPEN,NEED",,
11,,Deity,God,OK,web+onto,,,,Deity,,,,,,,OPENCYC,,
12,,Family,Family_Human,OK,web+onto,,,,Family,,,,,,,"OPENCYC,UPDATED",,
13,,NobleFamily,AristocraticFamilyLine,OK,web,,,,,NobleFamily,,,,,,UPDATED,,
14,,Organisation,Organization,OK,web+onto+v105,,,,Organisation,,,,,,,"UPDATED,NEED",,
15,,Band,Band_MusicGroup,OK,web+onto+v105,,,,,Band,,,,,,"UPDATED,OPENCYC",,
16,,Broadcaster,MediaOrganization,OK,web+onto,,,,,Broadcaster,,,,,,,,
17,,BroadcastNetwork,MediaOrganization,OK,web+onto,,,,,,BroadcastNetwork,,,,,,,
18,,RadioStation,RadioStation_Organization,OK,web+onto+v105,,,,,,RadioStation,,,,,,,
19,,TelevisionStation,TelevisionStation,OK,web+onto,,,,,,TelevisionStation,,,,,,,
20,,ClericalOrder,ReligiousOrganization,OK,web+onto,,,,,ClericalOrder,,,,,,,,
21,,ComedyGroup,ComedyTeam,OK,web+onto,,,,,ComedyGroup,,,,,,,,
22,,Company,Business,OK,web+onto+v105,,,,,Company,,,,,,,,
23,,Airline,AirlineCompany,OK,web+onto+v105,,,,,,Airline,,,,,,,
24,,Brewery,Brewery,OK,web,,,,,,Brewery,,,,,,,
25,,BusCompany,BusLine,OK,web,,,,,,BusCompany,,,,,,,
26,,LawFirm,LawFirm,OK,web+onto,,,,,,LawFirm,,,,,,,
27,,Publisher,PublishingOrganization,OK,web+onto,,,,,,Publisher,,,,,,,
28,,RecordLabel,RecordCompany,OK,web+onto+v105,,,,,,RecordLabel,,,,,,,
29,,Winery,Winery,OK,web,,,,,,Winery,,,,,,,
30,,EducationalInstitution,EducationalOrganization,OK,web+onto+v105,,,,,EducationalInstitution,,,,,,,,
31,,College,College,OK,web+onto+v105,,,,,,College,,,,,,,
32,,Library,Library_Organization,OK,web+onto,,,,,,Library,,,,,,,
33,,School,School_AcademicOrganization,OK,web+onto+v105,,,,,,School,,,,,,,
34,,University,University,OK,web+onto+v105,,,,,,University,,,,,,,
35,,GeopoliticalOrganisation,GeopoliticalEntity,OK,web+onto+v105,,,,,GeopoliticalOrganisation,,,,,,,,
36,,GovernmentAgency,GovernmentAgency,OK,web+onto,,,,,GovernmentAgency,,,,,,,,
37,,Group,,OPEN,web+onto,,,,,Group,,,,,,,,
38,,Legislature,LegislativeOrganization,UPDATED,web+onto+v105,,,,,Legislature,,,,,,,,
39,,MilitaryUnit,MilitaryOrganization,UPDATED,web+onto+v105,,,,,MilitaryUnit,,,,,,,,
40,,Non-ProfitOrganisation,NonProfitOrganization,OK,web+onto+v105,,,,,Non-ProfitOrganisation,,,,,,,,
41,,RecordOffice,,"OPEN,NEED",web,legitimate category useful to add to Cyc,,,,,RecordOffice,,,,,,,
42,,Parliament,Parliament,OK,web,,,,,Parliament,,,,,,,,
43,,PoliticalParty,PoliticalParty,OK,web+onto,,,,,PoliticalParty,,,,,,,,
44,,SambaSchool,EducationalOrganization,NEED,web+onto,,,,,SambaSchool,,,,,,,,
45,,SportsLeague,SportsLeague,"UPDATED,NEED",web+onto+v105,entire 'SportsLeague' area needs attention,,,,SportsLeague,,,,,,,,
46,,AmericanFootballLeague,SportsLeague,"UPDATED,NEED",web+onto+v105,,,,,,AmericanFootballLeague,,,,,,,
47,,AustralianFootballLeague,AustralianFootballLeague,OPENCYC,web+onto+v105,,,,,,AustralianFootballLeague,,,,,,,
48,,AutoRacingLeague,SportsLeague,"UPDATED,NEED",web+onto+v105,,,,,,AutoRacingLeague,,,,,,,
49,,BaseballLeague,Basketball_league,UPDATED,web+onto+v105,,,,,,BaseballLeague,,,,,,,
50,,BasketballLeague,SportsLeague,"UPDATED,NEED",web+onto+v105,,,,,,BasketballLeague,,,,,,,
51,,BowlingLeague,SportsLeague,"UPDATED,NEED",web+onto+v105,,,,,,BowlingLeague,,,,,,,
52,,BoxingLeague,SportsLeague,"UPDATED,NEED",web+onto+v105,,,,,,BoxingLeague,,,,,,,
53,,CanadianFootballLeague,SportsLeague,"UPDATED,NEED",web+onto+v105,,,,,,CanadianFootballLeague,,,,,,,
54,,CricketLeague,SportsLeague,"UPDATED,NEED",web+onto+v105,,,,,,CricketLeague,,,,,,,
55,,CurlingLeague,SportsLeague,"UPDATED,NEED",web+onto+v105,,,,,,CurlingLeague,,,,,,,
56,,CyclingLeague,SportsLeague,"UPDATED,NEED",web+onto+v105,,,,,,CyclingLeague,,,,,,,
57,,FieldHockeyLeague,SportsLeague,"UPDATED,NEED",web+onto+v105,,,,,,FieldHockeyLeague,,,,,,,
58,,FormulaOneRacing,SportsLeague,NEED,web+onto,,,,,,FormulaOneRacing,,,,,,,
59,,GolfLeague,SportsLeague,"UPDATED,NEED",web+onto+v105,,,,,,GolfLeague,,,,,,,
60,,HandballLeague,SportsLeague,"UPDATED,NEED",web+onto+v105,,,,,,HandballLeague,,,,,,,
61,,IceHockeyLeague,SportsLeague,"UPDATED,NEED",web+onto+v105,,,,,,IceHockeyLeague,,,,,,,
62,,InlineHockeyLeague,SportsLeague,"UPDATED,NEED",web+onto+v105,,,,,,InlineHockeyLeague,,,,,,,
63,,LacrosseLeague,SportsLeague,"UPDATED,NEED",web+onto+v105,,,,,,LacrosseLeague,,,,,,,
64,,MixedMartialArtsLeague,SportsLeague,"UPDATED,NEED",web+onto+v105,,,,,,MixedMartialArtsLeague,,,,,,,
65,,MotorcycleRacingLeague,SportsLeague,"UPDATED,NEED",web+onto+v105,,,,,,MotorcycleRacingLeague,,,,,,,
66,,PaintballLeague,SportsLeague,"UPDATED,NEED",web+onto+v105,,,,,,PaintballLeague,,,,,,,
67,,PoloLeague,SportsLeague,"UPDATED,NEED",web+onto+v105,,,,,,PoloLeague,,,,,,,
68,,RadioControlledRacingLeague,SportsLeague,"UPDATED,NEED",web+onto+v105,,,,,,RadioControlledRacingLeague,,,,,,,
69,,RugbyLeague,SportsLeague,"UPDATED,NEED",web+onto+v105,,,,,,RugbyLeague,,,,,,,
70,,SoccerLeague,SportsLeague,"UPDATED,NEED",web+onto+v105,,,,,,SoccerLeague,,,,,,,
71,,SoftballLeague,SportsLeague,"UPDATED,NEED",web+onto+v105,,,,,,SoftballLeague,,,,,,,
72,,SpeedwayLeague,SportsLeague,"UPDATED,NEED",web+onto+v105,,,,,,SpeedwayLeague,,,,,,,
73,,TennisLeague,SportsLeague,"UPDATED,NEED",web+onto+v105,,,,,,TennisLeague,,,,,,,
