Drug,PharmaceuticalType
SoccerTournament,Tournament
Locality,AdministrativeDistrict
SubMunicipality,AdministrativeDistrict
FrenchLocality,AdministrativeDistrict
HistoricalPeriod,HistoricPeriod
Artwork,VisualWork
ClassicalMusicComposition,MusicalComposition-Classical
SiteOfSpecialScientificInterest,UNESCOWorldHertitageSite
WorldHeritageSite,UNESCOWorldHertitageSite
PeriodOfArtisticStyle,HistoricPeriod
ProtohistoricalPeriod,HistoricPeriod
ArtistDiscography,InformationStore
ScreenWriter,Screenwriter
RailwayStation,RailroadStation
Parish,Parish-State-Geopolitical
Boxing,Boxing-SportCW
TopicalConcept,
Depth,
Single,SingleRecording-CW
BoxingCategory,
BoxingStyle,
GreenAlga,GreenAlgae
